x,y,m
-225,14,2.0
235,-10,-1.0
71,53,1.0
6,5,1.0
200,-6,-1.0
-234,-1,2.0
94,290,2.0
11,1,-1.0
224,109,-1.0
4,11,-1.0
4,10,1.0
233,4,-1.0
-172,208,2.0
6,131,-1.0
151,214,2.0
36,24,-1.0
-227,5,2.0
150,213,-1.0
15,9,1.0
-126,227,-1.0
-7,3,-1.0
227,-1,2.0
-108,261,-1.0
212,138,2.0
-6,9,-1.0
-4,-2,-1.0
-23,110,-1.0
-91,243,-1.0
6,8,1.0
29,3,1.0
1,136,-1.0
-162,189,-1.0
4,41,-1.0
31,51,1.0
192,389,-1.0
10,170,1.0
1,7,-1.0
7,36,-1.0
136,265,-1.0
-124,253,-1.0
-4,21,-1.0
18,22,-1.0
-43,64,-1.0
223,2,-1.0
77,159,-1.0
49,7,1.0
-16,12,1.0
-232,23,-1.0
-17,20,-1.0
223,102,-1.0
137,144,-1.0
-25,0,-1.0
227,27,-1.0
0,21,1.0
-5,11,1.0
99,-3,-1.0
150,212,-1.0
-2,2,1.0
178,183,-1.0
-99,41,-1.0
9,22,-1.0
11,23,1.0
13,12,1.0
-36,21,-1.0
9,262,2.0
179,179,-1.0
217,104,-1.0
-7,15,-1.0
0,0,1.0
-11,2,1.0
39,257,-1.0
-29,1,-1.0
48,112,1.0
137,215,-1.0
127,216,-1.0
4,13,1.0
20,13,-1.0
0,1,1.0
222,97,2.0
-234,28,-1.0
1,4,1.0
34,29,-1.0
-10,5,1.0
183,155,2.0
-123,252,-1.0
153,202,-1.0
223,2,2.0
54,247,2.0
140,216,2.0
-17,29,1.0
152,209,2.0
-43,167,1.0
-4,69,1.0
-29,253,2.0
-12,6,1.0
-1,177,-1.0
-29,6,-1.0
113,232,2.0
-125,220,-1.0
-100,127,-1.0
-116,230,2.0
-167,199,-1.0
20,22,1.0
-151,205,2.0
-32,16,1.0
-127,226,2.0
-20,31,-1.0
-5,41,-1.0
108,242,-1.0
179,99,-1.0
-10,114,-1.0
227,19,-1.0
0,22,1.0
16,20,-1.0
31,120,-1.0
-228,-1,-1.0
60,156,1.0
-2,80,-1.0
-34,29,1.0
26,24,1.0
230,24,-1.0
-28,4,1.0
9,9,1.0
-7,74,-1.0
40,29,-1.0
-5,61,1.0
-5,116,1.0
26,15,-1.0
183,192,-1.0
-151,203,-1.0
-228,8,-1.0
-77,245,2.0
-20,11,-1.0
-64,245,-1.0
-116,41,1.0
-20,122,1.0
-225,-5,-1.0
159,210,-1.0
72,137,-1.0
0,111,1.0
42,159,-1.0
0,37,1.0
15,80,-1.0
205,162,2.0
5,256,-1.0
0,0,1.0
18,58,-1.0
81,139,-1.0
0,0,-1.0
-225,50,-1.0
-230,17,-1.0
-26,44,-1.0
-233,34,-1.0
-237,17,-1.0
-17,22,-1.0
-4,16,1.0
13,13,1.0
-36,260,-1.0
18,168,1.0
233,37,2.0
143,212,-1.0
-98,242,-1.0
153,214,-1.0
1,54,-1.0
-16,29,-1.0
-5,272,-1.0
-61,105,1.0
-224,128,-1.0
-60,157,1.0
11,159,1.0
0,27,1.0
1,195,-1.0
54,100,1.0
-147,221,-1.0
-179,204,2.0
-5,254,2.0
-21,283,-1.0
38,13,1.0
138,222,-1.0
7,22,1.0
159,218,-1.0
4,13,1.0
131,215,2.0
-59,5,1.0
228,21,-1.0
74,88,-1.0
-189,180,-1.0
-228,-22,-1.0
86,149,-1.0
183,174,-1.0
-83,43,-1.0
70,120,-1.0
2,49,-1.0
6,17,-1.0
77,154,1.0
10,25,-1.0
2,15,-1.0
135,216,2.0
18,12,-1.0
-13,23,-1.0
-86,249,2.0
-178,170,-1.0
-17,10,1.0
-143,235,2.0
229,57,-1.0
-5,10,1.0
-16,336,-1.0
-17,28,-1.0
0,0,1.0
-229,85,-1.0
-9,15,1.0
229,-15,-1.0
-13,274,-1.0
232,18,-1.0
200,151,-1.0
44,12,1.0
-74,164,-1.0
-104,148,-1.0
-48,16,-1.0
-22,0,-1.0
38,23,-1.0
-10,12,-1.0
5,5,1.0
-188,178,-1.0
-114,290,2.0
125,-13,1.0
-237,-9,-1.0
28,11,-1.0
223,-9,-1.0
0,12,-1.0
0,0,-1.0
-188,178,-1.0
-39,22,-1.0
228,-20,-1.0
191,181,-1.0
159,201,-1.0
145,204,-1.0
186,179,2.0
-51,258,2.0
-150,208,-1.0
-189,161,2.0
-222,-7,-1.0
-140,205,-1.0
-23,8,-1.0
11,-6,1.0
-32,164,-1.0
-5,-4,-1.0
22,-4,-1.0
-98,237,-1.0
-98,240,-1.0
233,-6,-1.0
-17,-16,-1.0
0,-2,1.0
185,182,-1.0
56,248,-1.0
-67,83,-1.0
230,95,-1.0
-48,1,-1.0
-2,3,1.0
-102,243,2.0
-4,252,-1.0
146,237,-1.0
1,-2,1.0
233,11,-1.0
154,224,-1.0
211,138,-1.0
13,1,1.0
-18,125,-1.0
232,17,2.0
-164,183,2.0
49,21,-1.0
237,89,-1.0
1,1,1.0
-225,-26,-1.0
181,197,-1.0
-1,13,1.0
-70,14,-1.0
-18,-10,-1.0
70,120,-1.0
158,211,-1.0
0,0,-1.0
-157,-27,-1.0
-231,23,2.0
27,4,1.0
205,157,-1.0
-167,210,2.0
58,47,1.0
-34,78,1.0
74,25,1.0
-20,1,1.0
194,220,-1.0
-18,8,-1.0
54,26,1.0
-210,145,2.0
189,193,-1.0
2,5,-1.0
-60,-20,-1.0
190,17,-1.0
45,153,-1.0
-43,267,2.0
234,74,2.0
1,20,-1.0
7,38,-1.0
0,0,1.0
-222,27,-1.0
-130,231,2.0
22,172,-1.0
0,0,-1.0
32,176,1.0
136,224,2.0
129,184,-1.0
210,153,-1.0
100,138,-1.0
203,169,-1.0
-86,25,1.0
-227,-8,-1.0
243,77,2.0
40,26,-1.0
228,32,2.0
-12,14,1.0
44,74,1.0
87,131,1.0
239,78,2.0
-21,6,1.0
94,243,-1.0
4,8,1.0
7,48,1.0
21,27,-1.0
-21,13,1.0
-7,53,1.0
4,254,-1.0
6,34,-1.0
-11,48,-1.0
-168,209,-1.0
-26,13,1.0
2,34,1.0
-10,4,1.0
-28,49,-1.0
-11,5,1.0
17,23,1.0
50,247,-1.0
-173,216,-1.0
-25,11,-1.0
5,25,-1.0
23,107,-1.0
-207,183,-1.0
100,238,-1.0
-26,15,-1.0
93,252,-1.0
69,239,-1.0
26,33,1.0
-197,168,-1.0
-11,100,-1.0
-153,284,-1.0
-58,262,2.0
-54,39,-1.0
-7,22,1.0
-15,25,1.0
87,244,-1.0
-205,151,-1.0
0,0,-1.0
0,0,-1.0
-43,130,-1.0
0,0,1.0
5,79,-1.0
-9,13,1.0
-16,1,1.0
222,141,-1.0
87,266,-1.0
201,155,2.0
237,51,-1.0
16,11,1.0
22,15,-1.0
0,0,1.0
59,248,-1.0
21,53,-1.0
175,195,-1.0
43,25,-1.0
23,53,1.0
-6,21,-1.0
-109,155,1.0
105,156,1.0
7,71,1.0
-127,219,-1.0
-15,10,-1.0
5,85,-1.0
-16,29,-1.0
-7,-7,1.0
10,13,-1.0
0,0,-1.0
-5,27,-1.0
0,0,1.0
-9,0,1.0
26,10,-1.0
-17,-2,1.0
58,22,1.0
21,5,-1.0
0,0,1.0
-228,4,2.0
-228,17,-1.0
-9,5,1.0
53,110,-1.0
34,6,-1.0
6,10,1.0
214,142,-1.0
-210,129,2.0
-103,236,-1.0
-39,11,-1.0
-167,192,-1.0
233,35,-1.0
-118,226,2.0
18,3,1.0
60,55,-1.0
-229,14,2.0
-224,5,-1.0
75,112,1.0
-4,141,1.0
-1,107,-1.0
0,0,1.0
56,170,-1.0
0,0,1.0
-28,23,-1.0
-53,58,-1.0
-15,12,-1.0
-17,11,-1.0
-71,76,1.0
32,257,2.0
-2,6,1.0
-10,25,-1.0
-238,47,2.0
-147,215,-1.0
-230,-1,2.0
2,21,-1.0
-48,23,-1.0
-39,27,-1.0
-224,18,2.0
-232,32,-1.0
-172,196,2.0
-2,1,1.0
-147,243,-1.0
9,277,2.0
112,260,-1.0
70,107,1.0
29,48,-1.0
-99,238,2.0
51,148,-1.0
-32,39,1.0
9,15,1.0
-17,21,-1.0
1,11,1.0
-168,228,2.0
-12,7,1.0
4,50,-1.0
-97,148,1.0
-15,31,-1.0
-113,279,2.0
9,1,-1.0
-17,-1,-1.0
7,6,-1.0
-11,10,-1.0
6,10,1.0
-38,57,-1.0
15,5,1.0
-115,227,-1.0
170,197,-1.0
-13,250,-1.0
-153,8,1.0
-34,263,-1.0
6,1,1.0
-109,222,-1.0
5,-4,1.0
22,63,-1.0
-91,240,2.0
27,121,1.0
-29,52,-1.0
121,136,1.0
-137,213,2.0
-17,66,-1.0
-124,219,-1.0
39,145,1.0
12,-4,-1.0
-213,110,2.0
-4,5,-1.0
-4,8,1.0
5,-1,1.0
112,22,-1.0
-1,31,-1.0
-40,84,1.0
141,216,-1.0
229,19,-1.0
6,6,1.0
-125,225,-1.0
17,79,-1.0
25,25,-1.0
225,29,-1.0
71,72,-1.0
124,150,1.0
-12,16,1.0
66,55,1.0
4,26,-1.0
12,119,-1.0
91,98,-1.0
-116,245,2.0
-189,171,2.0
110,125,-1.0
-145,223,-1.0
-75,120,1.0
-36,214,-1.0
-9,2,-1.0
-11,158,1.0
-64,118,1.0
-2,13,1.0
-65,99,-1.0
-42,268,-1.0
-234,6,-1.0
-56,58,-1.0
91,104,-1.0
222,2,-1.0
-43,153,-1.0
-6,5,1.0
-180,194,-1.0
-234,116,-1.0
-233,44,-1.0
-4,12,1.0
-21,12,1.0
0,10,1.0
21,41,-1.0
-6,259,-1.0
184,157,-1.0
-237,4,-1.0
21,102,-1.0
-229,71,-1.0
-98,74,-1.0
88,130,1.0
-151,210,2.0
20,83,1.0
151,60,1.0
22,20,-1.0
123,92,-1.0
152,210,-1.0
-59,270,2.0
227,15,2.0
29,22,-1.0
-132,137,1.0
-158,203,-1.0
162,210,2.0
0,5,1.0
-16,0,-1.0
0,0,1.0
141,236,2.0
-10,8,-1.0
148,136,1.0
140,220,-1.0
-21,159,1.0
-191,183,2.0
55,257,2.0
1,269,-1.0
16,55,-1.0
11,9,-1.0
29,11,-1.0
4,1,1.0
-98,221,-1.0
-16,6,1.0
12,8,-1.0
0,0,-1.0
31,4,-1.0
-211,135,-1.0
-143,204,-1.0
22,4,-1.0
-70,240,-1.0
103,101,-1.0
11,13,1.0
65,108,-1.0
7,20,1.0
86,116,-1.0
227,98,-1.0
5,8,-1.0
0,0,1.0
-2,1,1.0
165,190,-1.0
-16,6,1.0
20,15,1.0
-194,168,-1.0
56,261,2.0
-54,136,-1.0
148,204,-1.0
-59,205,1.0
227,47,-1.0
18,65,1.0
18,5,-1.0
-107,270,-1.0
-162,247,-1.0
214,147,2.0
-12,0,-1.0
12,4,-1.0
0,0,-1.0
0,0,1.0
-29,41,-1.0
-7,20,1.0
27,27,-1.0
1,263,-1.0
-2,4,1.0
-170,205,-1.0
20,6,1.0
-27,74,-1.0
16,13,-1.0
2,7,1.0
-1,92,1.0
-23,13,-1.0
-21,11,-1.0
105,137,-1.0
85,252,-1.0
12,13,-1.0
0,0,1.0
-118,244,-1.0
13,32,1.0
-21,12,-1.0
26,7,-1.0
0,0,1.0
32,16,-1.0
0,0,1.0
37,18,-1.0
-13,5,1.0
184,160,-1.0
-20,7,-1.0
162,226,2.0
-132,260,-1.0
-116,254,-1.0
130,239,-1.0
104,168,1.0
-23,-4,1.0
-230,15,-1.0
-16,51,-1.0
-13,5,1.0
23,1,1.0
5,149,-1.0
-99,246,2.0
109,236,2.0
12,31,1.0
11,96,-1.0
87,17,-1.0
229,10,2.0
51,50,-1.0
-123,219,-1.0
192,153,-1.0
55,48,-1.0
-102,41,1.0
-228,42,-1.0
-115,36,-1.0
-55,31,1.0
37,134,1.0
44,30,-1.0
228,17,-1.0
23,103,-1.0
71,218,-1.0
-143,200,-1.0
-108,99,-1.0
-146,229,-1.0
-9,57,-1.0
55,66,-1.0
-223,53,-1.0
164,481,-1.0
-145,213,2.0
9,20,1.0
-9,130,-1.0
-235,5,2.0
48,173,-1.0
-61,268,-1.0
-67,34,1.0
7,32,1.0
232,29,2.0
6,8,1.0
-137,40,1.0
31,66,-1.0
10,17,1.0
21,31,1.0
233,32,-1.0
22,14,-1.0
-81,255,2.0
13,10,1.0
16,26,1.0
-92,245,-1.0
-124,53,-1.0
205,137,-1.0
-11,15,1.0
-232,75,-1.0
-64,120,1.0
-1,104,-1.0
43,12,-1.0
0,0,1.0
-4,33,1.0
13,18,-1.0
53,259,-1.0
42,133,-1.0
-135,212,-1.0
-4,20,1.0
5,54,-1.0
-13,25,1.0
-21,32,-1.0
-235,16,2.0
26,251,-1.0
233,76,-1.0
-15,34,-1.0
32,57,-1.0
29,251,2.0
-93,38,-1.0
-6,84,1.0
97,251,-1.0
20,122,-1.0
42,100,-1.0
33,54,-1.0
0,0,1.0
-183,191,-1.0
-113,231,2.0
134,233,-1.0
-6,29,1.0
-238,36,-1.0
28,100,-1.0
13,22,1.0
-103,67,-1.0
43,42,-1.0
151,65,-1.0
21,20,1.0
-172,193,-1.0
-10,62,-1.0
-32,134,-1.0
16,16,1.0
-183,181,-1.0
0,0,-1.0
-98,226,-1.0
-1,18,-1.0
-102,11,-1.0
0,26,1.0
201,158,-1.0
-40,64,1.0
-72,79,1.0
1,263,2.0
-121,36,-1.0
-17,81,1.0
-27,123,1.0
26,37,-1.0
29,252,-1.0
85,248,-1.0
-197,398,-1.0
-32,32,-1.0
11,275,-1.0
-13,23,-1.0
-124,123,-1.0
-17,13,-1.0
100,68,1.0
110,52,1.0
18,27,1.0
-6,59,1.0
-175,185,-1.0
23,22,1.0
-176,195,-1.0
-7,23,1.0
9,62,1.0
-169,196,-1.0
-21,21,-1.0
0,0,1.0
-235,16,2.0
21,25,1.0
185,167,-1.0
-5,5,1.0
-51,314,2.0
-11,32,-1.0
0,0,-1.0
191,152,2.0
-45,34,-1.0
162,194,-1.0
-26,21,1.0
-64,256,2.0
-105,47,-1.0
-146,214,2.0
-205,121,-1.0
-34,108,1.0
65,67,-1.0
1,15,1.0
43,282,-1.0
-22,9,1.0
-28,166,1.0
6,13,1.0
23,63,1.0
50,256,-1.0
18,11,1.0
-114,234,2.0
-97,240,-1.0
55,126,1.0
-140,221,-1.0
-126,16,1.0
-143,225,-1.0
232,38,-1.0
-61,22,-1.0
141,209,2.0
-55,255,2.0
75,125,-1.0
28,127,1.0
-49,129,-1.0
-16,11,-1.0
-29,14,-1.0
-134,257,2.0
108,156,-1.0
9,6,1.0
9,45,-1.0
174,206,-1.0
85,253,2.0
2,47,-1.0
100,174,-1.0
