x,y,m
-36,267,-1.0
115,137,-1.0
-235,13,2.0
-228,10,2.0
27,25,1.0
-230,27,-1.0
27,14,-1.0
-158,198,-1.0
-71,260,2.0
-18,19,-1.0
58,260,-1.0
-15,32,-1.0
137,4,1.0
-54,50,1.0
129,214,-1.0
-233,-10,2.0
89,251,-1.0
17,11,-1.0
12,14,1.0
-9,3,1.0
138,230,2.0
136,99,1.0
-89,321,-1.0
21,98,-1.0
-48,256,2.0
11,13,1.0
-31,250,-1.0
-9,0,1.0
27,252,2.0
-16,3,1.0
127,239,-1.0
6,256,2.0
-164,200,2.0
-6,1,1.0
-12,94,-1.0
12,16,-1.0
-103,225,2.0
-20,20,1.0
82,95,-1.0
-4,10,1.0
-113,220,-1.0
-17,263,-1.0
16,10,1.0
174,193,-1.0
-214,157,-1.0
141,10,-1.0
175,180,2.0
-23,265,2.0
-70,267,2.0
10,13,1.0
130,228,-1.0
-16,12,1.0
-33,28,-1.0
29,33,-1.0
-2,18,1.0
229,36,2.0
2,22,1.0
43,55,1.0
-237,22,-1.0
168,36,1.0
195,165,-1.0
-234,23,-1.0
17,23,1.0
22,28,1.0
2,16,1.0
26,275,2.0
-9,15,-1.0
-93,159,-1.0
-13,280,2.0
132,227,2.0
142,15,-1.0
-184,168,2.0
125,32,1.0
2,6,1.0
-229,22,-1.0
202,151,2.0
20,6,-1.0
-23,63,1.0
212,152,2.0
-10,31,-1.0
-159,220,-1.0
-29,62,-1.0
0,0,1.0
5,76,-1.0
0,0,-1.0
-125,253,-1.0
-6,13,1.0
28,44,-1.0
-224,4,2.0
1,223,1.0
-28,48,-1.0
-119,143,-1.0
22,57,-1.0
189,206,2.0
-210,155,2.0
-20,0,-1.0
26,94,1.0
-94,14,1.0
-134,-10,-1.0
9,256,2.0
-224,-15,-1.0
161,113,-1.0
180,206,-1.0
27,16,-1.0
0,0,1.0
62,168,-1.0
-61,242,-1.0
31,51,1.0
-116,234,2.0
-227,-20,-1.0
-165,121,-1.0
235,0,2.0
13,-8,1.0
-179,509,-1.0
5,-2,1.0
75,256,2.0
164,227,2.0
69,200,-1.0
11,171,-1.0
31,15,-1.0
-11,-4,1.0
62,35,-1.0
174,210,-1.0
-91,241,-1.0
114,105,-1.0
-23,40,-1.0
-38,3,-1.0
64,89,1.0
235,26,2.0
7,66,-1.0
-169,177,2.0
174,180,2.0
-140,-16,1.0
67,182,1.0
140,138,-1.0
-74,256,2.0
-10,41,1.0
108,130,1.0
118,7,-1.0
-205,169,2.0
225,121,2.0
-5,263,2.0
-49,122,1.0
109,90,-1.0
-2,43,1.0
-169,209,2.0
181,230,2.0
11,20,1.0
100,243,-1.0
-158,236,-1.0
4,15,1.0
10,17,1.0
13,63,1.0
-50,123,-1.0
5,21,1.0
143,218,2.0
109,238,-1.0
5,18,1.0
7,15,1.0
5,26,1.0
-2,39,-1.0
183,181,-1.0
-40,259,-1.0
-227,28,2.0
21,17,-1.0
15,23,-1.0
0,0,1.0
9,10,1.0
195,183,-1.0
-6,52,1.0
175,189,2.0
6,15,1.0
31,138,-1.0
40,183,-1.0
0,273,-1.0
-9,9,1.0
-1,51,-1.0
137,211,2.0
-97,243,2.0
-6,1,1.0
6,15,1.0
147,231,-1.0
6,20,1.0
130,220,-1.0
-218,137,-1.0
-118,225,-1.0
-17,1,1.0
109,250,2.0
-27,47,-1.0
113,136,1.0
-118,279,-1.0
1,24,-1.0
-6,22,-1.0
-4,5,1.0
-58,108,-1.0
-230,-16,2.0
143,206,-1.0
0,0,1.0
0,264,2.0
27,1,1.0
-186,-12,1.0
-69,42,-1.0
224,109,-1.0
23,3,1.0
227,-5,-1.0
185,167,2.0
0,15,1.0
125,80,1.0
-206,158,2.0
-47,107,-1.0
-49,84,-1.0
-9,65,-1.0
17,17,-1.0
-99,151,-1.0
-64,267,-1.0
190,172,2.0
-5,11,1.0
-32,109,1.0
20,63,1.0
-2,-1,1.0
-126,144,-1.0
47,58,1.0
92,262,-1.0
1,8,1.0
-113,239,-1.0
-137,63,1.0
-156,160,-1.0
1,21,1.0
4,285,-1.0
-183,290,-1.0
-37,179,-1.0
-124,231,2.0
-140,232,-1.0
-179,199,-1.0
7,20,-1.0
5,1,1.0
-237,43,-1.0
-5,22,-1.0
227,12,-1.0
0,-1,1.0
-229,-4,-1.0
31,53,-1.0
62,126,-1.0
109,228,2.0
45,58,1.0
-191,31,-1.0
-38,63,-1.0
4,33,1.0
53,263,2.0
26,33,1.0
32,86,-1.0
9,57,-1.0
-185,205,-1.0
-69,245,-1.0
241,20,-1.0
4,4,1.0
47,43,1.0
62,56,-1.0
145,75,-1.0
0,0,1.0
-112,222,2.0
-110,230,2.0
-37,121,-1.0
22,26,1.0
154,5,1.0
-23,57,1.0
15,297,-1.0
47,69,-1.0
141,96,1.0
54,40,1.0
230,-5,2.0
-26,1,-1.0
-196,161,-1.0
40,56,1.0
-61,183,1.0
-136,441,-1.0
5,143,-1.0
7,1,1.0
-110,239,-1.0
12,66,1.0
200,162,-1.0
-214,131,-1.0
-179,164,-1.0
23,8,1.0
-7,245,-1.0
-12,32,1.0
44,32,1.0
-230,17,-1.0
45,17,-1.0
58,104,-1.0
-38,19,-1.0
36,66,1.0
15,85,1.0
-112,225,-1.0
222,134,-1.0
-43,59,-1.0
-27,136,1.0
-179,139,1.0
-100,235,-1.0
60,120,-1.0
-32,32,-1.0
15,15,-1.0
-89,134,-1.0
140,206,-1.0
-17,126,-1.0
-13,285,2.0
-49,140,-1.0
-34,169,-1.0
4,25,1.0
-16,29,-1.0
12,20,1.0
85,260,-1.0
-9,132,1.0
153,435,-1.0
-6,27,-1.0
-72,248,-1.0
-153,190,-1.0
-85,240,-1.0
-2,116,1.0
32,194,-1.0
17,10,1.0
-212,143,-1.0
86,100,1.0
-50,248,-1.0
-29,251,2.0
62,95,-1.0
-143,211,-1.0
-138,208,-1.0
62,246,2.0
72,243,-1.0
110,246,2.0
-13,86,1.0
55,48,1.0
-55,176,1.0
-103,58,1.0
211,132,-1.0
7,59,1.0
1,6,1.0
10,65,-1.0
21,71,-1.0
116,80,-1.0
152,42,1.0
116,176,1.0
-15,25,1.0
-103,269,2.0
185,190,2.0
23,159,1.0
-60,260,-1.0
21,12,1.0
225,34,-1.0
-22,31,1.0
-22,23,1.0
-9,52,-1.0
-20,74,-1.0
-233,41,-1.0
-156,212,-1.0
-16,260,2.0
-2,59,-1.0
13,21,1.0
-11,25,1.0
4,5,1.0
-154,162,-1.0
-12,163,-1.0
119,227,2.0
97,243,-1.0
15,102,1.0
-15,67,1.0
-5,39,1.0
-10,31,-1.0
0,0,1.0
-100,242,2.0
-99,256,-1.0
20,28,-1.0
43,252,-1.0
16,105,1.0
70,155,-1.0
49,258,-1.0
140,225,2.0
-4,11,1.0
-65,121,-1.0
-88,257,-1.0
-47,10,-1.0
96,242,-1.0
11,94,-1.0
56,90,-1.0
9,30,-1.0
44,110,1.0
238,29,2.0
109,111,-1.0
-82,248,2.0
151,57,-1.0
-93,237,-1.0
44,284,-1.0
0,36,-1.0
-113,137,-1.0
235,-5,-1.0
-93,72,1.0
11,252,2.0
16,32,-1.0
2,45,1.0
22,290,2.0
119,278,-1.0
-4,19,-1.0
-5,17,-1.0
6,5,-1.0
1,30,1.0
40,37,-1.0
-6,167,1.0
100,156,-1.0
229,111,-1.0
32,41,-1.0
40,124,-1.0
192,198,-1.0
131,240,-1.0
-9,22,1.0
2,25,1.0
-194,193,-1.0
-104,154,-1.0
135,243,-1.0
-86,136,1.0
-113,111,-1.0
117,38,1.0
-183,8,-1.0
31,125,-1.0
0,0,1.0
9,4,1.0
-103,122,-1.0
0,0,1.0
191,201,-1.0
42,152,-1.0
0,4,1.0
0,1,1.0
233,-16,-1.0
-9,31,-1.0
-9,76,-1.0
53,41,-1.0
0,0,1.0
-28,57,-1.0
-2,7,1.0
161,231,2.0
-125,263,-1.0
228,-6,-1.0
6,26,1.0
-185,223,-1.0
74,262,-1.0
-99,165,-1.0
-165,236,-1.0
121,238,2.0
-112,248,-1.0
211,155,-1.0
-50,64,-1.0
-164,132,1.0
15,32,1.0
-119,242,-1.0
-138,310,-1.0
20,74,1.0
-227,34,2.0
7,16,1.0
-32,69,1.0
-158,202,-1.0
-154,46,-1.0
223,121,2.0
-181,186,-1.0
4,15,1.0
-230,18,-1.0
-17,88,1.0
25,26,-1.0
118,89,-1.0
20,28,-1.0
-11,39,-1.0
-12,31,1.0
11,6,1.0
161,206,-1.0
58,120,1.0
18,43,-1.0
-42,264,-1.0
-28,117,1.0
-47,116,-1.0
174,206,-1.0
-233,26,-1.0
109,238,-1.0
