x,y,m
-140,88,1.0
-136,229,-1.0
66,26,-1.0
20,4,1.0
4,11,-1.0
-2,94,-1.0
-16,5,1.0
43,87,-1.0
-119,78,1.0
-16,5,1.0
-12,1,1.0
-12,36,-1.0
-32,22,-1.0
-13,3,1.0
-71,246,-1.0
21,247,2.0
2,47,1.0
-93,239,2.0
13,48,-1.0
116,151,1.0
199,147,2.0
16,30,1.0
9,22,-1.0
232,17,2.0
-235,16,2.0
-237,13,-1.0
-119,121,-1.0
13,16,-1.0
190,159,-1.0
-211,138,-1.0
13,43,-1.0
-12,5,1.0
-16,36,-1.0
-9,4,1.0
-132,229,-1.0
0,8,1.0
82,241,-1.0
-22,17,-1.0
-11,1,1.0
-72,47,-1.0
9,13,1.0
121,55,-1.0
-178,192,2.0
-22,5,1.0
221,121,-1.0
-13,30,-1.0
102,16,-1.0
-26,258,2.0
11,58,1.0
-6,56,-1.0
-16,9,1.0
-21,27,-1.0
237,8,2.0
-13,8,1.0
-60,72,1.0
27,20,-1.0
0,0,1.0
-99,258,-1.0
45,48,-1.0
34,18,-1.0
174,191,-1.0
-1,38,1.0
22,11,1.0
-45,174,1.0
153,210,-1.0
9,18,1.0
9,13,1.0
27,34,1.0
234,4,-1.0
20,11,-1.0
-224,116,-1.0
42,258,2.0
118,232,2.0
141,221,-1.0
27,11,-1.0
-173,31,-1.0
9,6,1.0
-5,76,1.0
-21,89,1.0
-2,6,1.0
-10,64,-1.0
58,36,-1.0
116,231,-1.0
-25,33,-1.0
5,49,1.0
6,47,-1.0
-6,74,-1.0
-172,193,-1.0
21,62,-1.0
64,125,-1.0
22,38,-1.0
-225,1,-1.0
20,262,2.0
-1,5,1.0
156,207,-1.0
-4,258,2.0
-202,168,-1.0
62,241,-1.0
10,6,1.0
36,264,-1.0
0,0,-1.0
-229,-20,2.0
-229,-25,-1.0
7,9,1.0
4,177,-1.0
203,157,-1.0
67,40,-1.0
165,193,2.0
234,-5,2.0
141,209,2.0
12,272,2.0
186,184,-1.0
64,136,-1.0
45,111,-1.0
154,-5,1.0
2,6,1.0
-93,11,-1.0
-6,1,1.0
2,24,1.0
162,198,2.0
82,16,-1.0
-7,19,-1.0
9,14,1.0
143,221,-1.0
-162,192,-1.0
-28,0,-1.0
-137,71,1.0
-162,197,-1.0
161,229,-1.0
-11,16,1.0
-74,126,1.0
43,113,-1.0
-167,189,2.0
-86,232,-1.0
-72,140,1.0
-20,255,-1.0
109,32,1.0
39,5,-1.0
126,242,-1.0
-156,98,-1.0
-126,26,-1.0
-189,192,-1.0
-6,25,1.0
39,93,-1.0
-137,67,-1.0
227,13,2.0
232,-10,-1.0
6,16,1.0
221,105,2.0
29,39,-1.0
219,122,-1.0
-112,241,-1.0
-230,18,2.0
-16,22,1.0
-29,13,1.0
-26,264,2.0
-232,13,-1.0
20,18,-1.0
0,0,1.0
-21,31,-1.0
-156,11,-1.0
-34,26,1.0
12,-4,1.0
43,252,-1.0
17,32,-1.0
-20,16,1.0
228,64,2.0
5,185,1.0
212,160,-1.0
22,10,1.0
-47,254,-1.0
0,0,1.0
-227,70,-1.0
-27,133,-1.0
-34,23,-1.0
103,67,-1.0
15,86,1.0
-229,21,2.0
-25,15,-1.0
50,260,2.0
4,143,-1.0
229,10,-1.0
124,258,-1.0
-119,239,2.0
33,43,-1.0
-173,211,-1.0
91,26,-1.0
-110,241,-1.0
243,20,2.0
-58,257,-1.0
183,10,-1.0
33,113,-1.0
-80,247,2.0
-16,20,1.0
108,57,-1.0
0,0,1.0
29,225,-1.0
2,107,1.0
97,36,-1.0
10,8,1.0
-88,112,1.0
-234,36,2.0
11,16,-1.0
-4,-4,1.0
-58,17,-1.0
-7,7,1.0
7,31,-1.0
-235,78,-1.0
157,236,2.0
110,242,2.0
-16,-1,-1.0
77,138,-1.0
-20,162,1.0
2,-3,-1.0
181,220,2.0
40,23,1.0
235,15,2.0
2,39,-1.0
-234,25,2.0
82,279,-1.0
36,94,-1.0
-27,17,-1.0
227,116,2.0
-152,225,-1.0
87,243,2.0
20,33,-1.0
0,0,-1.0
18,75,1.0
69,86,-1.0
132,120,1.0
15,265,2.0
-109,8,-1.0
2,52,-1.0
12,132,1.0
127,101,1.0
-9,3,1.0
-146,27,-1.0
232,13,2.0
214,153,-1.0
1,1,1.0
70,171,1.0
-185,179,-1.0
158,221,-1.0
-178,184,2.0
230,58,2.0
-108,230,2.0
227,94,2.0
-143,219,-1.0
-229,-15,2.0
67,96,-1.0
11,22,-1.0
140,214,-1.0
17,260,2.0
-31,31,-1.0
-2,9,-1.0
-224,-4,-1.0
232,40,2.0
53,252,-1.0
-137,11,-1.0
-150,234,2.0
-225,14,2.0
27,21,-1.0
211,1,1.0
-5,10,1.0
124,-12,-1.0
-126,224,2.0
150,216,2.0
9,31,-1.0
127,145,1.0
-142,225,-1.0
-1,1,1.0
-197,174,2.0
-135,236,-1.0
-202,167,-1.0
-148,214,2.0
-235,-13,-1.0
239,50,-1.0
-16,13,-1.0
-55,161,-1.0
37,75,1.0
12,6,1.0
175,227,2.0
2,3,-1.0
-125,229,-1.0
232,143,2.0
4,34,-1.0
232,0,-1.0
-148,225,-1.0
-148,216,-1.0
234,55,-1.0
16,11,-1.0
61,240,-1.0
-71,248,2.0
230,6,-1.0
9,111,-1.0
-2,22,-1.0
-2,6,1.0
164,195,-1.0
99,234,2.0
-4,4,1.0
-2,1,1.0
10,-1,1.0
-5,4,-1.0
94,125,-1.0
0,0,-1.0
29,258,-1.0
-18,250,2.0
12,10,-1.0
26,10,1.0
18,263,-1.0
-28,269,-1.0
102,240,2.0
163,192,-1.0
-234,-1,-1.0
1,3,1.0
65,151,-1.0
17,22,1.0
16,255,-1.0
230,6,2.0
-4,9,-1.0
2,14,-1.0
-232,13,2.0
-13,34,1.0
2,3,-1.0
0,0,1.0
78,248,-1.0
17,35,-1.0
56,253,-1.0
1,-4,1.0
-221,25,2.0
-6,3,1.0
21,108,-1.0
2,1,1.0
-229,19,2.0
176,181,-1.0
16,18,-1.0
223,-15,2.0
-45,259,2.0
-110,231,-1.0
-10,16,1.0
-237,67,-1.0
146,206,2.0
1,15,-1.0
0,0,-1.0
-6,11,1.0
27,113,1.0
0,15,1.0
-18,69,-1.0
-27,31,-1.0
-104,241,-1.0
230,8,-1.0
-78,244,-1.0
151,196,-1.0
-2,48,-1.0
0,0,-1.0
-175,181,-1.0
-53,197,-1.0
-33,253,2.0
-17,10,-1.0
-6,8,-1.0
-4,8,1.0
-10,8,1.0
44,100,1.0
168,196,2.0
-47,101,1.0
26,258,-1.0
-6,13,1.0
-49,249,-1.0
136,227,-1.0
-233,53,2.0
-16,258,-1.0
-13,15,-1.0
99,117,-1.0
-7,42,1.0
-102,245,2.0
214,158,-1.0
228,-19,-1.0
7,8,1.0
234,12,-1.0
-181,209,-1.0
36,25,1.0
-4,157,-1.0
-11,50,1.0
201,93,1.0
-34,4,1.0
145,79,-1.0
157,227,2.0
-1,144,1.0
-15,29,-1.0
-65,90,1.0
135,-4,-1.0
-26,92,1.0
16,22,1.0
-113,62,-1.0
168,191,2.0
49,27,1.0
-178,215,-1.0
-146,222,2.0
-44,28,-1.0
6,32,-1.0
9,15,1.0
226,-4,2.0
-4,116,-1.0
-81,257,-1.0
1,12,1.0
16,6,-1.0
110,162,-1.0
141,225,-1.0
-11,11,1.0
-2,20,1.0
-233,27,2.0
4,62,-1.0
6,19,-1.0
-108,252,2.0
-92,250,-1.0
97,282,-1.0
236,23,-1.0
-227,41,-1.0
-170,205,-1.0
-4,9,1.0
16,93,-1.0
0,0,-1.0
4,47,-1.0
-5,14,-1.0
2,3,1.0
-31,176,1.0
138,252,-1.0
1,6,1.0
-1,25,-1.0
-29,38,-1.0
-36,31,1.0
53,30,1.0
-156,6,-1.0
-239,9,-1.0
-228,-4,2.0
-2,173,-1.0
-98,95,1.0
119,-2,-1.0
-245,27,-1.0
-227,120,2.0
-235,43,-1.0
-5,174,1.0
-234,125,-1.0
-16,14,1.0
2,13,-1.0
152,222,-1.0
-165,204,2.0
222,169,2.0
-12,8,1.0
-238,47,-1.0
26,78,-1.0
-232,19,-1.0
225,16,-1.0
228,15,2.0
208,169,-1.0
6,9,1.0
21,269,-1.0
6,1,1.0
12,1,1.0
38,42,-1.0
22,69,-1.0
-2,6,1.0
227,6,-1.0
-103,-7,-1.0
0,0,1.0
-136,219,-1.0
131,211,2.0
21,9,-1.0
0,0,-1.0
-29,16,-1.0
-64,22,-1.0
0,0,1.0
138,222,-1.0
-28,13,1.0
-17,-1,1.0
-25,20,-1.0
17,116,-1.0
40,90,1.0
-32,78,1.0
61,74,1.0
230,5,2.0
38,83,1.0
-98,235,-1.0
-152,205,-1.0
-225,14,2.0
227,-7,2.0
83,38,-1.0
1,6,1.0
-11,69,-1.0
13,9,1.0
158,13,-1.0
-142,17,-1.0
-16,32,-1.0
0,0,-1.0
-9,26,-1.0
-234,3,-1.0
104,329,-1.0
-40,117,1.0
-65,20,1.0
67,154,1.0
131,254,-1.0
-1,18,1.0
32,26,-1.0
-145,217,2.0
20,264,-1.0
162,195,-1.0
-154,242,-1.0
-173,206,-1.0
119,120,-1.0
21,10,1.0
-21,15,-1.0
-17,10,1.0
-224,25,-1.0
12,12,1.0
-27,277,2.0
-13,58,1.0
163,212,-1.0
54,116,1.0
196,469,-1.0
102,15,-1.0
0,0,1.0
11,26,1.0
10,5,1.0
-206,146,-1.0
-26,50,-1.0
65,8,1.0
-167,236,-1.0
29,37,1.0
-10,20,1.0
33,274,-1.0
-232,5,-1.0
74,38,-1.0
-13,17,1.0
-4,28,1.0
228,39,2.0
11,281,-1.0
228,37,-1.0
-119,236,-1.0
232,41,2.0
60,284,-1.0
1,265,-1.0
225,75,-1.0
4,28,-1.0
4,17,1.0
21,13,1.0
-157,115,1.0
73,145,-1.0
-40,-6,-1.0
-188,155,-1.0
103,119,-1.0
5,14,1.0
15,4,1.0
9,13,1.0
26,8,1.0
21,150,-1.0
27,37,-1.0
38,5,-1.0
116,120,1.0
131,220,2.0
47,17,1.0
-225,-4,-1.0
7,26,1.0
55,247,-1.0
-225,13,-1.0
-17,11,1.0
43,58,-1.0
38,30,-1.0
7,-6,1.0
16,-8,1.0
-25,-8,1.0
-104,237,-1.0
142,25,1.0
1,153,-1.0
184,198,-1.0
32,56,1.0
20,-2,1.0
-140,200,2.0
-16,0,1.0
-76,231,2.0
-96,229,-1.0
33,13,-1.0
151,225,2.0
-7,253,-1.0
21,-1,1.0
28,142,-1.0
113,11,-1.0
-9,-10,-1.0
-20,260,-1.0
-5,104,-1.0
-7,19,-1.0
-97,99,-1.0
164,215,-1.0
6,16,1.0
9,13,1.0
-20,96,1.0
-131,46,-1.0
91,143,-1.0
-26,18,1.0
-60,46,-1.0
-21,29,1.0
18,16,1.0
-91,256,2.0
-21,23,1.0
-28,60,1.0
110,248,-1.0
-15,5,1.0
-232,27,-1.0
141,44,1.0
53,76,-1.0
10,26,1.0
13,73,-1.0
10,23,-1.0
100,4,-1.0
-150,230,2.0
234,55,2.0
-16,84,1.0
5,28,1.0
21,10,1.0
-230,11,2.0
-20,11,1.0
-145,241,2.0
-22,5,1.0
142,218,2.0
16,57,-1.0
234,43,-1.0
-131,154,-1.0
-140,239,-1.0
27,31,1.0
11,18,1.0
-16,18,1.0
-17,16,1.0
33,265,-1.0
22,7,1.0
216,134,-1.0
4,7,1.0
-234,26,-1.0
37,13,-1.0
6,60,-1.0
25,20,1.0
-5,16,1.0
83,254,2.0
25,13,1.0
-158,209,2.0
18,11,1.0
-161,197,-1.0
-132,85,-1.0
33,20,-1.0
0,0,1.0
-16,42,1.0
98,188,1.0
-129,227,2.0
-21,25,-1.0
113,231,-1.0
1,2,1.0
9,15,1.0
168,185,2.0
-233,18,2.0
25,21,1.0
13,10,1.0
-179,186,-1.0
5,12,1.0
-69,107,1.0
210,160,2.0
1,6,1.0
-230,38,2.0
-233,76,-1.0
-233,53,2.0
-121,247,-1.0
88,148,-1.0
13,25,1.0
1,-4,1.0
-25,14,1.0
232,34,-1.0
2,15,1.0
-20,6,1.0
-25,9,1.0
-93,235,2.0
-131,222,-1.0
5,53,-1.0
-69,256,-1.0
138,203,-1.0
98,40,-1.0
-21,4,1.0
-235,9,-1.0
-26,11,-1.0
5,17,1.0
-45,310,-1.0
-126,218,-1.0
-75,64,-1.0
2,79,-1.0
21,20,-1.0
87,63,1.0
-103,230,2.0
-127,214,-1.0
195,147,-1.0
-115,11,-1.0
-1,8,1.0
230,24,-1.0
5,83,1.0
-4,0,1.0
-135,213,2.0
-1,5,1.0
-232,19,2.0
229,30,-1.0
-61,245,-1.0
10,22,-1.0
0,0,-1.0
0,0,1.0
230,32,-1.0
138,218,-1.0
0,257,-1.0
-130,80,-1.0
1,2,1.0
-1,12,-1.0
-1,1,1.0
-130,220,-1.0
19,18,-1.0
235,-1,-1.0
-151,212,-1.0
-232,-10,-1.0
12,5,1.0
18,11,1.0
-29,42,-1.0
10,5,1.0
18,10,-1.0
11,1,1.0
197,158,-1.0
181,175,-1.0
235,-13,-1.0
-5,11,1.0
-25,270,-1.0
-141,216,-1.0
-73,148,-1.0
158,22,-1.0
12,101,-1.0
-148,218,-1.0
50,39,1.0
-164,189,2.0
232,0,-1.0
-143,207,2.0
15,71,-1.0
0,0,1.0
72,50,1.0
1,58,-1.0
-5,18,-1.0
0,0,1.0
-178,44,1.0
-29,107,-1.0
162,6,-1.0
10,6,-1.0
0,0,1.0
15,17,-1.0
-10,27,1.0
-180,185,-1.0
-168,202,-1.0
-27,46,1.0
-61,129,-1.0
0,1,1.0
-169,198,2.0
-154,200,-1.0
-49,51,-1.0
212,150,2.0
-32,13,-1.0
7,9,-1.0
-89,246,-1.0
-146,74,-1.0
-136,57,-1.0
-165,94,-1.0
-44,-5,-1.0
-124,220,2.0
228,68,2.0
142,220,-1.0
178,179,2.0
12,4,1.0
148,84,-1.0
5,105,-1.0
12,16,1.0
5,50,1.0
-167,178,-1.0
146,132,1.0
18,43,-1.0
1,4,1.0
38,9,-1.0
-4,20,-1.0
0,0,1.0
-203,167,-1.0
178,189,-1.0
6,10,1.0
-18,11,-1.0
2,240,2.0
-12,0,-1.0
7,77,1.0
-13,154,1.0
237,29,-1.0
-70,101,-1.0
113,231,-1.0
96,68,-1.0
-7,254,2.0
-67,254,-1.0
102,67,-1.0
230,25,-1.0
-12,36,1.0
49,132,-1.0
-22,17,1.0
0,15,1.0
165,188,2.0
43,29,-1.0
-33,23,1.0
-18,26,1.0
-146,200,-1.0
-16,22,1.0
-17,12,-1.0
2,6,1.0
6,11,1.0
33,22,1.0
28,41,-1.0
22,16,1.0
72,20,-1.0
-18,109,1.0
228,20,-1.0
-21,39,-1.0
-142,233,-1.0
20,18,1.0
65,26,-1.0
50,48,-1.0
4,8,1.0
56,39,1.0
137,206,2.0
37,95,-1.0
5,12,-1.0
-159,236,-1.0
-10,41,1.0
2,6,1.0
223,8,2.0
-16,57,-1.0
0,0,-1.0
-18,21,1.0
74,55,1.0
20,9,1.0
-225,98,2.0
174,176,2.0
0,242,-1.0
-6,4,1.0
12,20,-1.0
-7,4,1.0
-26,63,-1.0
234,-4,2.0
29,9,-1.0
28,25,1.0
176,208,2.0
-26,247,-1.0
-18,16,-1.0
131,22,-1.0
104,83,1.0
13,46,-1.0
12,246,-1.0
129,121,1.0
142,101,-1.0
229,20,-1.0
-108,218,-1.0
179,250,2.0
-10,35,-1.0
28,84,-1.0
-26,8,1.0
1,5,1.0
-34,21,-1.0
164,26,-1.0
179,204,-1.0
-26,13,-1.0
6,3,1.0
27,6,1.0
-234,10,-1.0
2,13,-1.0
-172,184,-1.0
72,141,-1.0
0,0,1.0
-145,101,-1.0
81,38,-1.0
-112,163,1.0
147,227,-1.0
69,37,-1.0
-228,6,-1.0
0,8,1.0
-189,205,-1.0
16,17,1.0
2,11,1.0
-138,252,-1.0
-97,101,-1.0
5,13,1.0
25,164,-1.0
4,22,1.0
-190,191,2.0
228,-5,2.0
7,27,-1.0
2,280,-1.0
-105,27,1.0
-50,31,-1.0
5,-5,1.0
-29,27,-1.0
0,0,1.0
7,4,1.0
27,16,1.0
-13,39,1.0
-86,101,-1.0
0,0,1.0
-175,214,-1.0
15,12,1.0
-100,165,1.0
6,6,1.0
-89,15,1.0
-25,2,-1.0
-22,74,1.0
-195,196,-1.0
54,12,1.0
11,21,1.0
-11,12,1.0
39,16,-1.0
-1,10,1.0
96,100,-1.0
-64,89,-1.0
-64,167,-1.0
26,16,1.0
-137,163,-1.0
87,244,-1.0
-29,24,-1.0
-47,51,-1.0
-4,31,-1.0
-116,242,2.0
