x,y,m
0,0,1.0
20,22,-1.0
-249,-5,-1.0
0,0,1.0
-228,-1,2.0
-228,-16,2.0
77,242,2.0
116,248,-1.0
33,38,1.0
-1,8,1.0
227,24,-1.0
-26,116,1.0
34,105,-1.0
-87,87,-1.0
11,13,1.0
-190,178,2.0
100,251,-1.0
-20,257,2.0
-87,250,-1.0
102,250,-1.0
-9,16,-1.0
20,263,2.0
-238,5,-1.0
-127,218,2.0
62,262,-1.0
-83,252,-1.0
-233,26,-1.0
153,224,2.0
227,63,2.0
-9,3,1.0
-23,22,1.0
-239,-27,-1.0
138,232,-1.0
-28,75,-1.0
0,0,-1.0
152,225,2.0
-69,46,-1.0
0,0,-1.0
-118,240,-1.0
-1,108,-1.0
-235,-2,-1.0
22,262,2.0
225,11,2.0
91,231,-1.0
-23,3,1.0
26,95,1.0
93,-2,1.0
179,179,2.0
-156,195,-1.0
10,-1,1.0
6,278,-1.0
96,242,-1.0
-176,189,2.0
197,153,-1.0
-77,180,1.0
-5,21,-1.0
-22,4,-1.0
29,57,-1.0
5,154,1.0
210,117,-1.0
-20,254,-1.0
167,181,2.0
-233,28,-1.0
22,15,-1.0
27,104,1.0
-37,25,-1.0
-145,210,-1.0
4,10,-1.0
225,18,-1.0
7,10,1.0
-1,105,-1.0
162,194,-1.0
18,105,-1.0
223,29,2.0
-9,97,1.0
-161,200,-1.0
-64,251,-1.0
-33,69,1.0
-2,12,1.0
-4,6,-1.0
-142,212,-1.0
-12,47,-1.0
-2,13,-1.0
0,0,-1.0
0,0,-1.0
-9,4,-1.0
-54,126,-1.0
-5,11,1.0
18,75,1.0
-170,188,2.0
-39,94,1.0
-234,-3,-1.0
-1,0,1.0
-53,128,1.0
-40,262,2.0
-7,7,-1.0
-163,214,-1.0
170,178,2.0
-5,13,-1.0
-223,116,2.0
1,4,1.0
-16,8,-1.0
161,199,2.0
15,-2,-1.0
0,0,-1.0
0,0,1.0
26,37,-1.0
7,21,1.0
0,0,1.0
28,240,-1.0
1,14,-1.0
-119,221,-1.0
233,24,-1.0
-93,79,1.0
22,43,1.0
-1,50,-1.0
-225,48,2.0
-104,87,-1.0
218,131,2.0
33,32,-1.0
4,14,1.0
103,127,1.0
22,56,1.0
7,32,-1.0
233,15,2.0
-67,245,-1.0
36,103,1.0
-43,110,1.0
-1,3,1.0
-16,253,-1.0
-93,35,-1.0
12,8,1.0
-1,11,1.0
16,53,-1.0
-141,10,-1.0
0,0,-1.0
-15,85,-1.0
4,1,1.0
156,218,2.0
-29,105,1.0
42,68,-1.0
1,0,1.0
-78,251,-1.0
9,14,1.0
-201,41,1.0
124,256,2.0
-23,21,-1.0
0,0,1.0
143,21,1.0
233,42,-1.0
-137,211,-1.0
-56,247,2.0
232,69,-1.0
164,192,2.0
142,203,2.0
1,9,-1.0
-109,225,-1.0
27,64,1.0
132,31,-1.0
-9,9,1.0
18,10,1.0
221,111,2.0
127,224,2.0
-87,237,2.0
27,92,-1.0
43,245,2.0
96,224,2.0
-82,240,-1.0
20,22,1.0
5,6,1.0
18,45,-1.0
138,230,-1.0
21,68,-1.0
0,0,1.0
15,105,-1.0
0,0,1.0
85,236,-1.0
2,10,-1.0
-170,193,2.0
227,77,-1.0
11,9,-1.0
6,4,1.0
132,276,-1.0
173,189,2.0
-228,53,2.0
40,167,-1.0
0,5,-1.0
0,0,1.0
21,16,-1.0
-120,11,-1.0
137,211,-1.0
-94,236,-1.0
27,252,-1.0
23,14,-1.0
-2,5,1.0
18,9,1.0
85,211,1.0
1,8,1.0
-4,53,-1.0
-150,232,-1.0
5,12,-1.0
0,130,-1.0
0,0,1.0
2,20,-1.0
0,0,1.0
-66,254,-1.0
7,12,-1.0
-188,173,-1.0
-218,125,2.0
2,110,-1.0
-36,105,-1.0
-165,191,-1.0
-170,186,-1.0
-87,258,-1.0
2,116,-1.0
0,0,1.0
59,34,1.0
-2,13,1.0
-5,1,1.0
-108,238,-1.0
-172,191,-1.0
-138,238,-1.0
-18,18,1.0
230,-4,2.0
229,-20,-1.0
-184,180,-1.0
189,167,-1.0
-7,2,1.0
-130,251,-1.0
2,13,1.0
2,21,-1.0
-1,10,1.0
-165,201,2.0
-210,152,-1.0
151,228,-1.0
206,143,2.0
5,12,-1.0
-15,10,-1.0
12,7,-1.0
0,0,1.0
94,247,2.0
-108,69,1.0
-10,111,-1.0
-25,33,-1.0
-23,21,-1.0
20,189,1.0
-184,191,-1.0
140,214,-1.0
0,0,1.0
1,356,2.0
-172,221,-1.0
-1,15,-1.0
0,0,-1.0
-31,65,-1.0
-25,85,-1.0
-137,36,-1.0
-16,73,1.0
-103,162,1.0
48,253,2.0
-51,42,-1.0
5,1,1.0
-22,59,1.0
20,5,1.0
-45,48,-1.0
1,167,1.0
6,-3,-1.0
13,13,-1.0
0,5,1.0
-56,120,-1.0
-13,10,1.0
248,57,-1.0
-54,47,-1.0
-48,152,-1.0
-176,194,-1.0
-243,55,2.0
-29,1,-1.0
241,6,2.0
223,2,-1.0
4,13,1.0
132,211,-1.0
-137,236,-1.0
-25,10,1.0
2,16,-1.0
-239,112,2.0
-239,80,2.0
-1,375,-1.0
-22,20,1.0
13,13,-1.0
