x,y,m
-42,61,-1.0
-12,-6,1.0
45,48,-1.0
163,14,1.0
56,25,1.0
103,183,-1.0
-147,201,2.0
-78,43,-1.0
-39,14,1.0
-228,-11,2.0
-39,21,1.0
-212,122,2.0
176,99,-1.0
-51,32,-1.0
21,21,-1.0
21,-1,-1.0
87,227,-1.0
233,113,-1.0
7,20,1.0
-48,90,-1.0
54,46,1.0
164,185,-1.0
-17,13,1.0
-34,31,-1.0
69,15,-1.0
48,88,-1.0
2,19,1.0
237,99,-1.0
-31,-2,-1.0
-4,106,1.0
96,232,2.0
-91,227,-1.0
-18,78,-1.0
234,-1,-1.0
0,127,-1.0
-47,42,-1.0
27,20,1.0
96,169,1.0
-93,152,-1.0
12,73,-1.0
161,201,2.0
-44,110,1.0
-43,19,-1.0
12,256,-1.0
0,696,-1.0
31,172,-1.0
21,22,1.0
-168,199,-1.0
-192,173,-1.0
103,243,-1.0
44,42,1.0
-221,188,-1.0
-25,42,1.0
-93,242,2.0
-31,57,1.0
-34,36,-1.0
-164,196,2.0
-93,16,1.0
40,254,2.0
-165,85,-1.0
56,249,-1.0
126,182,-1.0
18,22,-1.0
0,0,-1.0
26,142,1.0
113,83,1.0
-26,110,1.0
16,74,-1.0
37,109,1.0
151,196,-1.0
-34,13,-1.0
22,21,1.0
-77,100,1.0
-168,231,2.0
6,34,1.0
-9,37,1.0
-51,73,-1.0
-42,31,-1.0
-235,113,-1.0
227,-13,-1.0
-1,36,-1.0
-29,39,-1.0
-214,146,-1.0
-17,20,1.0
-18,31,-1.0
96,44,1.0
124,42,-1.0
78,247,-1.0
67,244,-1.0
20,146,-1.0
-92,241,-1.0
9,10,-1.0
-237,33,-1.0
20,11,1.0
-50,254,-1.0
96,9,-1.0
-58,245,2.0
2,13,1.0
-16,3,1.0
-1,4,1.0
13,5,1.0
0,1,1.0
45,124,1.0
-230,46,2.0
-5,126,-1.0
-6,4,1.0
-18,4,1.0
-2,37,1.0
23,14,-1.0
-27,38,1.0
11,34,1.0
-7,56,1.0
4,8,1.0
16,8,1.0
233,75,-1.0
0,0,1.0
113,31,1.0
-2,10,1.0
12,13,1.0
-211,131,2.0
108,-6,1.0
-28,32,1.0
39,29,-1.0
0,0,1.0
-2,9,1.0
