x,y,m
-10,89,1.0
45,12,-1.0
28,11,1.0
13,12,1.0
64,153,1.0
0,65,1.0
55,36,-1.0
1,20,1.0
154,209,-1.0
140,215,2.0
29,22,-1.0
37,130,-1.0
-157,217,-1.0
-38,159,1.0
26,26,-1.0
0,0,1.0
216,118,-1.0
-7,15,1.0
25,18,-1.0
0,0,1.0
-102,258,2.0
-237,23,-1.0
25,113,-1.0
-162,205,-1.0
-86,149,1.0
225,52,-1.0
-203,169,2.0
135,32,1.0
-146,230,-1.0
-2,18,1.0
-152,230,2.0
-23,20,1.0
173,191,-1.0
-116,246,2.0
32,16,1.0
-7,11,1.0
49,52,-1.0
-18,22,1.0
21,38,1.0
-33,18,1.0
-11,10,1.0
-99,148,1.0
163,180,-1.0
0,0,1.0
-17,313,-1.0
137,261,-1.0
-11,3,1.0
-4,41,1.0
-232,59,-1.0
-16,166,-1.0
42,98,1.0
4,187,-1.0
10,148,-1.0
-88,171,1.0
-233,48,2.0
-16,28,-1.0
-91,129,-1.0
-235,50,-1.0
237,121,-1.0
-28,41,1.0
-201,189,2.0
-1,162,-1.0
69,95,-1.0
237,68,-1.0
232,73,-1.0
0,0,1.0
44,58,-1.0
156,215,2.0
238,67,2.0
41,30,-1.0
-241,57,2.0
-23,7,-1.0
10,6,-1.0
34,37,-1.0
-168,33,-1.0
237,37,2.0
-6,15,-1.0
-23,31,1.0
234,24,-1.0
168,209,-1.0
-233,61,-1.0
151,229,-1.0
143,47,-1.0
-26,17,-1.0
203,171,-1.0
26,30,1.0
238,52,2.0
228,148,-1.0
223,85,-1.0
16,27,1.0
230,30,-1.0
-142,138,1.0
-229,45,-1.0
142,231,-1.0
40,42,1.0
200,166,2.0
-194,192,-1.0
-185,206,-1.0
16,14,1.0
196,185,2.0
168,221,-1.0
-232,99,-1.0
0,0,-1.0
0,0,1.0
-6,13,1.0
5,4,1.0
230,-11,-1.0
97,48,1.0
-233,78,-1.0
-97,94,1.0
0,13,-1.0
-195,186,-1.0
80,22,1.0
43,5,1.0
129,226,-1.0
168,206,-1.0
-56,32,-1.0
-92,263,2.0
5,13,1.0
-26,174,1.0
7,120,1.0
121,231,-1.0
-235,23,-1.0
0,13,1.0
-152,210,-1.0
-110,55,-1.0
-7,23,-1.0
-157,194,-1.0
-36,97,1.0
-136,88,1.0
244,110,2.0
71,18,1.0
-146,136,-1.0
28,139,-1.0
2,4,1.0
-4,15,1.0
11,12,-1.0
81,89,1.0
232,22,-1.0
15,17,-1.0
16,4,-1.0
-105,96,-1.0
26,20,-1.0
0,0,1.0
9,5,1.0
-216,138,-1.0
93,35,-1.0
22,267,-1.0
-1,13,1.0
12,11,-1.0
0,0,-1.0
36,117,-1.0
234,38,-1.0
-234,84,-1.0
-2,34,-1.0
-83,239,2.0
-172,185,2.0
-142,220,2.0
-16,250,2.0
235,14,-1.0
-152,208,2.0
233,34,2.0
105,35,1.0
-2,8,1.0
21,272,-1.0
181,192,-1.0
190,179,-1.0
7,36,-1.0
0,0,-1.0
87,104,-1.0
233,169,-1.0
64,117,1.0
4,11,-1.0
0,0,1.0
228,4,-1.0
230,43,-1.0
-6,8,-1.0
0,0,1.0
109,79,1.0
-22,258,-1.0
200,178,-1.0
64,24,-1.0
103,271,2.0
-102,26,-1.0
130,218,-1.0
-15,8,1.0
13,30,-1.0
0,0,1.0
-76,232,-1.0
17,57,-1.0
2,8,1.0
-5,5,1.0
-18,34,1.0
-202,131,-1.0
7,27,-1.0
0,0,1.0
25,24,1.0
-224,-6,-1.0
-125,31,1.0
225,80,-1.0
105,236,2.0
121,243,-1.0
33,24,1.0
22,14,1.0
1,5,-1.0
-10,15,1.0
-221,-8,2.0
39,27,1.0
86,262,-1.0
-180,174,-1.0
238,85,2.0
-22,130,1.0
-115,218,-1.0
203,177,2.0
206,145,-1.0
-225,95,-1.0
1,73,1.0
16,16,1.0
25,258,-1.0
-223,66,-1.0
-228,71,2.0
-50,67,-1.0
-54,79,1.0
156,199,-1.0
-18,14,-1.0
-218,98,-1.0
232,130,-1.0
-55,245,-1.0
142,232,2.0
0,6,1.0
-228,-20,-1.0
-223,-16,-1.0
-1,119,-1.0
28,22,-1.0
229,99,2.0
1,19,1.0
27,16,1.0
-123,238,-1.0
232,1,-1.0
34,27,1.0
13,71,1.0
232,-21,2.0
44,31,-1.0
0,0,1.0
142,227,-1.0
-53,262,-1.0
25,33,1.0
20,8,1.0
17,31,1.0
-192,181,-1.0
235,75,-1.0
150,202,2.0
225,63,-1.0
235,-14,-1.0
-228,55,2.0
63,175,-1.0
1,44,1.0
-26,100,-1.0
7,44,-1.0
-21,44,1.0
1,23,1.0
77,244,-1.0
-170,200,-1.0
234,-19,-1.0
75,6,-1.0
37,41,1.0
43,204,1.0
-183,196,-1.0
10,84,-1.0
45,52,1.0
118,101,1.0
15,9,1.0
-6,317,-1.0
23,33,-1.0
0,0,1.0
-161,197,-1.0
162,209,-1.0
6,5,1.0
-1,25,-1.0
-142,78,-1.0
1,10,1.0
-45,9,-1.0
-116,13,-1.0
51,48,-1.0
31,251,-1.0
-12,-1,-1.0
-2,23,-1.0
-2,13,1.0
16,29,1.0
80,252,2.0
-228,104,-1.0
15,47,1.0
6,30,-1.0
185,199,2.0
-173,189,-1.0
-156,188,2.0
-17,9,1.0
-2,1,1.0
116,241,-1.0
-4,17,-1.0
-26,42,-1.0
0,0,-1.0
-25,55,-1.0
-9,34,-1.0
0,5,1.0
-173,192,2.0
241,9,-1.0
-55,268,2.0
-82,125,1.0
-17,13,-1.0
0,0,1.0
-11,15,1.0
227,78,-1.0
1,11,1.0
33,103,-1.0
124,227,2.0
-7,253,-1.0
-234,61,2.0
-59,114,1.0
1,17,1.0
100,-27,-1.0
45,146,1.0
-4,16,1.0
2,3,-1.0
10,13,1.0
5,-4,1.0
-11,5,-1.0
10,31,1.0
21,127,-1.0
-1,19,-1.0
71,247,-1.0
-161,193,-1.0
-10,22,-1.0
-6,48,1.0
78,62,-1.0
29,83,1.0
59,127,1.0
-42,58,-1.0
197,176,-1.0
234,104,-1.0
10,1,1.0
152,214,2.0
-11,29,1.0
-190,183,-1.0
10,67,-1.0
225,78,-1.0
1,20,1.0
2,27,1.0
-15,25,-1.0
12,25,1.0
82,280,-1.0
-75,180,-1.0
-228,53,-1.0
20,17,1.0
-61,54,-1.0
-1,34,1.0
-6,265,-1.0
-232,103,2.0
-5,48,-1.0
170,220,-1.0
-2,27,-1.0
21,36,-1.0
2,31,1.0
-20,120,-1.0
6,23,-1.0
0,0,1.0
17,28,-1.0
0,0,-1.0
16,23,-1.0
-235,-3,-1.0
-181,235,-1.0
10,44,-1.0
-12,29,1.0
233,67,-1.0
0,31,1.0
-13,21,1.0
1,12,1.0
-2,18,1.0
113,238,-1.0
-9,36,1.0
-27,-1,-1.0
16,13,-1.0
10,9,1.0
20,24,1.0
238,43,2.0
33,5,1.0
-5,258,-1.0
23,14,1.0
12,24,1.0
-229,20,-1.0
28,10,1.0
-49,48,-1.0
23,6,1.0
-18,-1,1.0
-93,263,-1.0
21,10,-1.0
118,242,2.0
183,200,2.0
-243,25,2.0
135,245,-1.0
26,3,1.0
26,-1,1.0
12,21,-1.0
-162,209,-1.0
-233,26,-1.0
32,5,1.0
18,-10,1.0
44,6,-1.0
15,-2,1.0
-53,82,1.0
-137,232,2.0
224,131,2.0
-78,142,-1.0
12,41,1.0
118,47,-1.0
13,14,1.0
12,9,-1.0
110,143,1.0
136,223,-1.0
4,38,1.0
-40,89,-1.0
13,28,1.0
89,270,-1.0
233,12,-1.0
58,16,1.0
2,22,1.0
-86,269,2.0
80,123,1.0
-142,27,-1.0
136,230,2.0
-239,71,-1.0
-38,15,-1.0
85,88,-1.0
-69,184,1.0
-18,13,-1.0
0,0,1.0
-2,268,-1.0
-64,13,-1.0
-92,281,-1.0
146,236,2.0
16,23,1.0
2,22,-1.0
235,6,-1.0
21,80,-1.0
-174,218,2.0
12,46,1.0
-205,185,2.0
-156,267,-1.0
-7,21,1.0
-186,145,-1.0
25,12,-1.0
0,0,1.0
-27,23,-1.0
0,0,1.0
-27,-1,1.0
-96,149,-1.0
0,0,-1.0
0,0,-1.0
0,12,-1.0
229,11,-1.0
18,15,-1.0
91,258,-1.0
-22,6,1.0
126,-10,1.0
25,18,1.0
212,170,2.0
-53,250,2.0
20,8,1.0
-191,159,-1.0
-37,104,-1.0
20,22,-1.0
0,0,-1.0
9,11,-1.0
77,236,-1.0
11,10,1.0
36,103,1.0
-6,6,1.0
-130,214,-1.0
-12,53,-1.0
-2,48,1.0
32,32,1.0
40,26,1.0
-70,182,1.0
-148,208,-1.0
-213,132,2.0
238,63,2.0
25,17,-1.0
51,103,1.0
49,81,-1.0
145,213,-1.0
2,24,-1.0
34,117,1.0
-121,158,-1.0
2,80,-1.0
15,16,-1.0
-98,234,2.0
2,50,1.0
-2,151,1.0
9,5,1.0
-18,14,1.0
-16,258,-1.0
143,43,1.0
-228,22,2.0
23,11,-1.0
130,224,-1.0
-21,22,-1.0
-36,111,-1.0
4,50,1.0
29,108,-1.0
-78,108,-1.0
-80,150,1.0
22,13,1.0
-223,-12,2.0
238,62,2.0
6,257,2.0
26,64,1.0
232,0,2.0
-175,214,-1.0
125,226,-1.0
136,231,2.0
-26,31,-1.0
-22,13,1.0
223,70,2.0
-59,105,1.0
-146,226,-1.0
10,20,1.0
64,134,-1.0
-4,121,-1.0
80,128,1.0
227,34,-1.0
229,-3,-1.0
-27,118,-1.0
-4,15,1.0
-74,0,1.0
0,23,1.0
-6,8,1.0
5,12,1.0
-6,31,-1.0
-12,53,-1.0
120,246,2.0
-222,143,2.0
134,227,2.0
-87,113,-1.0
-221,142,-1.0
4,21,1.0
-48,258,2.0
93,243,2.0
-191,190,2.0
203,158,-1.0
5,8,1.0
13,10,1.0
11,6,1.0
4,0,1.0
1,113,-1.0
0,0,1.0
-15,-6,1.0
16,4,1.0
-43,26,1.0
235,35,2.0
-224,0,2.0
-17,8,1.0
-232,45,-1.0
5,4,1.0
156,235,2.0
-25,-4,-1.0
-6,-1,1.0
-179,166,-1.0
-183,163,-1.0
-183,164,-1.0
-55,246,2.0
-237,3,-1.0
28,246,-1.0
0,31,-1.0
-132,130,-1.0
-4,8,-1.0
-86,237,2.0
11,135,1.0
17,-7,1.0
53,61,-1.0
16,17,1.0
20,36,-1.0
-189,153,2.0
60,55,1.0
-21,29,1.0
10,5,-1.0
0,0,-1.0
-1,22,1.0
100,218,-1.0
16,15,-1.0
-200,132,2.0
-71,267,-1.0
29,242,-1.0
-204,164,-1.0
-7,27,1.0
4,8,-1.0
85,85,1.0
-132,218,-1.0
-12,39,1.0
92,96,1.0
18,17,1.0
4,162,1.0
42,31,-1.0
-58,253,2.0
12,8,1.0
71,16,1.0
38,74,-1.0
119,17,-1.0
0,0,1.0
-16,85,1.0
-31,52,1.0
-27,21,-1.0
-103,136,1.0
67,265,-1.0
-237,12,-1.0
5,52,-1.0
-16,183,-1.0
-180,191,-1.0
-18,25,1.0
-163,199,-1.0
-17,29,-1.0
53,94,1.0
211,155,-1.0
-38,134,-1.0
-173,202,-1.0
-15,158,1.0
-102,115,1.0
-112,236,-1.0
-225,42,-1.0
-76,107,-1.0
237,90,2.0
186,180,-1.0
-179,195,-1.0
129,228,-1.0
-39,144,1.0
-21,4,-1.0
-17,18,1.0
86,17,-1.0
-39,203,-1.0
235,137,-1.0
-37,17,-1.0
33,25,1.0
237,53,-1.0
26,4,1.0
126,251,-1.0
227,26,-1.0
203,192,-1.0
-26,24,1.0
-23,22,1.0
-140,225,-1.0
-239,29,-1.0
0,0,-1.0
-1,258,-1.0
-105,32,-1.0
-234,24,-1.0
-132,239,-1.0
-125,239,2.0
113,251,2.0
239,42,-1.0
-7,27,1.0
130,255,-1.0
-142,220,-1.0
-71,45,-1.0
-4,41,-1.0
93,-5,1.0
98,264,2.0
-243,-1,-1.0
-1,262,-1.0
70,253,2.0
-217,151,2.0
-134,248,2.0
239,96,-1.0
-27,47,1.0
-64,147,-1.0
-27,-6,1.0
163,221,-1.0
188,205,2.0
235,12,-1.0
47,54,-1.0
157,216,-1.0
29,44,1.0
18,31,1.0
-22,-1,1.0
-185,196,-1.0
-235,-14,-1.0
-28,6,-1.0
29,131,-1.0
11,65,-1.0
223,128,-1.0
-237,10,-1.0
-20,59,1.0
-183,211,-1.0
162,216,-1.0
-31,15,1.0
-235,-10,-1.0
-237,-3,-1.0
-58,52,1.0
170,215,2.0
-100,50,-1.0
-78,131,-1.0
225,138,2.0
-28,6,1.0
61,263,-1.0
-159,215,-1.0
97,31,1.0
-186,190,2.0
22,2,-1.0
107,163,1.0
29,5,1.0
18,216,-1.0
-18,0,1.0
-234,7,2.0
22,23,1.0
-201,180,-1.0
21,38,-1.0
18,28,1.0
123,232,-1.0
31,27,1.0
222,118,-1.0
0,15,1.0
119,231,2.0
-7,32,1.0
-114,169,-1.0
233,13,-1.0
-21,178,-1.0
46,134,1.0
5,18,1.0
-225,7,2.0
0,12,1.0
-7,12,1.0
6,18,1.0
92,26,-1.0
-72,-8,1.0
-76,80,-1.0
151,112,-1.0
233,54,-1.0
47,21,1.0
-116,562,-1.0
55,31,-1.0
-114,146,-1.0
-146,222,-1.0
21,36,1.0
-22,26,1.0
2,48,-1.0
-77,254,-1.0
-45,118,1.0
12,13,1.0
112,42,-1.0
-235,17,-1.0
228,29,-1.0
0,0,-1.0
120,122,-1.0
-34,130,1.0
183,179,-1.0
-109,219,-1.0
-142,203,2.0
199,156,2.0
146,220,-1.0
5,5,1.0
189,162,-1.0
210,215,-1.0
110,279,-1.0
228,17,2.0
-27,-2,-1.0
0,0,1.0
232,21,-1.0
22,67,1.0
-185,164,-1.0
232,16,-1.0
145,14,-1.0
87,4,-1.0
22,6,-1.0
-58,248,-1.0
-7,24,1.0
-17,-2,1.0
170,188,2.0
-229,-5,-1.0
-102,89,-1.0
0,0,1.0
109,137,1.0
-232,24,2.0
26,46,1.0
69,101,1.0
-102,230,2.0
38,51,-1.0
2,247,-1.0
123,130,1.0
-36,14,1.0
-20,85,-1.0
-37,14,-1.0
189,169,-1.0
-9,3,1.0
-229,26,-1.0
49,-6,-1.0
-184,64,1.0
-121,155,-1.0
16,44,1.0
-88,268,-1.0
228,58,-1.0
15,1,-1.0
-6,85,1.0
55,173,-1.0
44,155,-1.0
27,26,1.0
