game_id,home_team_id,home_team_name,home_team_city,home_team_tricode,home_team_wins,home_team_losses,home_team_score,away_team_id,away_team_name,away_team_city,away_team_tricode,away_team_wins,away_team_losses,away_team_score,arena,arena_city,arena_state,arena_country,arena_timezone,gameTimeET,gameTimeUTC,duration,attendance,sellout
0022300529,1610612760,Thunder,Oklahoma City,OKC,26,11,139,1610612757,Trail Blazers,Portland,POR,10,27,77,Paycom Center,Oklahoma City,OK,US,Central,2024-01-11T20:00:00Z,2024-01-12T01:00:00Z,1:59,15828,0
0022300179,1610612746,Clippers,LA,LAC,3,6,101,1610612763,Grizzlies,Memphis,MEM,2,8,105,Crypto.com Arena,Los Angeles,CA,US,Pacific,2023-11-12T15:30:00Z,2023-11-12T20:30:00Z,2:26,17220,0
0022300483,1610612755,76ers,Philadelphia,PHI,23,11,92,1610612752,Knicks,New York,NYK,20,15,128,Wells Fargo Center,Philadelphia,PA,US,Eastern,2024-01-05T19:30:00Z,2024-01-06T00:30:00Z,2:21,20461,0
0022300895,1610612737,Hawks,Atlanta,ATL,28,34,112,1610612739,Cavaliers,Cleveland,CLE,40,22,101,State Farm Arena,Atlanta,GA,US,Eastern,2024-03-06T19:30:00Z,2024-03-07T00:30:00Z,2:03,15841,0
0022300196,1610612741,Bulls,Chicago,CHI,4,8,94,1610612753,Magic,Orlando,ORL,6,5,96,United Center,Chicago,IL,US,Central,2023-11-15T20:00:00Z,2023-11-16T01:00:00Z,2:20,19092,0
0022301154,1610612762,Jazz,Utah,UTA,29,50,95,1610612743,Nuggets,Denver,DEN,55,24,111,Delta Center,Salt Lake City,UT,US,Mountain,2024-04-09T21:00:00Z,2024-04-10T01:00:00Z,1:58,18206,1
0022300315,1610612749,Bucks,Milwaukee,MIL,17,7,140,1610612754,Pacers,Indiana,IND,13,9,126,Fiserv Forum,Milwaukee,WI,US,Central,2023-12-13T20:00:00Z,2023-12-14T01:00:00Z,2:49,17431,1
0022300745,1610612749,Bucks,Milwaukee,MIL,34,19,120,1610612766,Hornets,Charlotte,CHA,10,41,84,Fiserv Forum,Milwaukee,WI,US,Central,2024-02-09T20:00:00Z,2024-02-10T01:00:00Z,2:08,17690,1
0022300250,1610612751,Nets,Brooklyn,BKN,8,8,118,1610612741,Bulls,Chicago,CHI,5,13,109,Barclays Center,Brooklyn,NY,US,Eastern,2023-11-26T19:30:00Z,2023-11-27T00:30:00Z,2:04,16687,0
0022300600,1610612746,Clippers,LA,LAC,27,14,125,1610612751,Nets,Brooklyn,BKN,17,25,114,Crypto.com Arena,Los Angeles,CA,US,Pacific,2024-01-21T15:30:00Z,2024-01-21T20:30:00Z,2:20,19370,1
