home_win,home_team_tricode,arena,attendance,sellout,gameTimeET,gameTimeUTC,duration
1,UTA,Delta Center,18206,1,2024-01-01T21:00:00Z,2024-01-02T02:00:00Z,2:05
1,POR,Moda Center,18592,0,2023-11-03T22:00:00Z,2023-11-04T02:00:00Z,2:41
0,DET,Little Caesars Arena,13992,0,2024-01-09T19:00:00Z,2024-01-10T00:00:00Z,2:12
1,CLE,Rocket Mortgage FieldHouse,19432,1,2023-11-05T18:00:00Z,2023-11-05T23:00:00Z,2:17
1,OKC,Paycom Center,17164,0,2024-02-27T22:00:00Z,2024-02-28T03:00:00Z,2:17
1,LAC,Crypto.com Arena,19370,1,2024-04-04T22:00:00Z,2024-04-05T02:00:00Z,2:33
1,OKC,Paycom Center,16409,0,2023-12-18T20:00:00Z,2023-12-19T01:00:00Z,2:07
0,WAS,Capital One Arena,16984,0,2024-02-04T15:30:00Z,2024-02-04T20:30:00Z,2:10
1,CLE,Rocket Mortgage FieldHouse,19432,1,2023-11-19T18:00:00Z,2023-11-19T23:00:00Z,2:05
0,NOP,Smoothie King Center,18624,1,2024-01-26T20:00:00Z,2024-01-27T01:00:00Z,2:01
1,ATL,State Farm Arena,16059,0,2024-03-27T19:30:00Z,2024-03-27T23:30:00Z,2:07
0,DET,Little Caesars Arena,16022,0,2024-01-17T19:00:00Z,2024-01-18T00:00:00Z,2:07
1,MIN,Target Center,18024,1,2023-10-28T20:00:00Z,2023-10-29T00:00:00Z,2:07
1,DEN,Ball Arena,19610,1,2023-11-04T21:00:00Z,2023-11-05T01:00:00Z,2:09
1,LAL,Crypto.com Arena,18997,1,2024-03-18T22:30:00Z,2024-03-19T02:30:00Z,1:56
0,BOS,TD Garden,19156,1,2024-01-19T19:30:00Z,2024-01-20T00:30:00Z,2:13
1,ORL,Kia Center,19459,1,2024-02-10T19:00:00Z,2024-02-11T00:00:00Z,2:22
1,OKC,Paycom Center,16631,0,2023-12-11T20:00:00Z,2023-12-12T01:00:00Z,2:03
0,LAL,Crypto.com Arena,18997,1,2024-04-07T22:00:00Z,2024-04-08T02:00:00Z,2:05
1,HOU,Toyota Center,17016,0,2024-03-21T20:00:00Z,2024-03-22T00:00:00Z,2:19
1,OKC,Paycom Center,15874,0,2024-01-23T20:00:00Z,2024-01-24T01:00:00Z,2:11
0,NYK,Madison Square Garden,19812,1,2023-11-26T18:00:00Z,2023-11-26T23:00:00Z,2:25
0,WAS,Capital One Arena,20333,1,2024-01-06T19:00:00Z,2024-01-07T00:00:00Z,2:11
1,CHI,United Center,19088,0,2023-11-12T19:00:00Z,2023-11-13T00:00:00Z,2:12
0,ORL,Kia Center,19481,1,2024-03-10T18:00:00Z,2024-03-10T22:00:00Z,2:19
1,UTA,Delta Center,18206,1,2024-03-04T21:00:00Z,2024-03-05T02:00:00Z,2:07
0,LAL,Crypto.com Arena,18997,1,2024-04-09T22:00:00Z,2024-04-10T02:00:00Z,2:15
1,HOU,Toyota Center,16813,0,2023-12-13T20:00:00Z,2023-12-14T01:00:00Z,2:19
1,TOR,Scotiabank Arena,19800,1,2024-02-09T19:30:00Z,2024-02-10T00:30:00Z,2:19
1,CLE,Rocket Mortgage FieldHouse,19432,1,2023-11-26T19:30:00Z,2023-11-27T00:30:00Z,2:16
1,ORL,Kia Center,18102,0,2024-01-21T18:00:00Z,2024-01-21T23:00:00Z,2:17
1,PHX,Footprint Center,17071,1,2024-03-21T22:30:00Z,2024-03-22T02:30:00Z,2:21
1,MIL,Fiserv Forum,17781,1,2024-01-11T19:30:00Z,2024-01-12T00:30:00Z,2:12
1,BKN,Barclays Center,17732,1,2023-11-12T15:00:00Z,2023-11-12T20:00:00Z,2:17
1,CLE,Rocket Mortgage FieldHouse,19432,1,2024-01-05T19:30:00Z,2024-01-06T00:30:00Z,2:05
0,WAS,Capital One Arena,16018,0,2024-03-06T19:00:00Z,2024-03-07T00:00:00Z,2:14
1,PHX,Footprint Center,17071,1,2023-11-15T21:00:00Z,2023-11-16T02:00:00Z,2:07
0,CHA,Spectrum Center,19375,1,2024-02-05T19:00:00Z,2024-02-06T00:00:00Z,2:02
1,LAC,Crypto.com Arena,19370,1,2023-12-16T22:30:00Z,2023-12-17T03:30:00Z,2:16
0,CHA,Spectrum Center,14209,0,2024-04-03T19:00:00Z,2024-04-03T23:00:00Z,2:06
0,SAC,Golden 1 Center,17832,1,2024-03-26T22:00:00Z,2024-03-27T02:00:00Z,2:11
0,POR,Moda Center,17899,0,2024-01-28T21:00:00Z,2024-01-29T02:00:00Z,2:12
0,SAS,Frost Bank Center,18354,1,2023-11-18T20:00:00Z,2023-11-19T01:00:00Z,2:18
1,CHI,United Center,20293,0,2024-03-18T20:00:00Z,2024-03-19T00:00:00Z,2:19
1,UTA,Delta Center,18206,1,2023-10-27T21:30:00Z,2023-10-28T01:30:00Z,2:16
1,POR,Moda Center,18595,0,2024-01-19T22:00:00Z,2024-01-20T03:00:00Z,2:27
1,PHI,Wells Fargo Center,19957,1,2024-03-16T19:00:00Z,2024-03-16T23:00:00Z,2:15
0,POR,Moda Center,18547,0,2023-12-17T21:00:00Z,2023-12-18T02:00:00Z,2:15
1,NOP,Smoothie King Center,17429,1,2024-02-05T20:00:00Z,2024-02-06T01:00:00Z,1:60
0,NOP,Smoothie King Center,16427,0,2024-04-03T20:00:00Z,2024-04-04T00:00:00Z,2:17
0,LAC,Crypto.com Arena,19370,1,2024-02-25T21:30:00Z,2024-02-26T02:30:00Z,2:14
1,TOR,Scotiabank Arena,19631,0,2024-01-17T19:30:00Z,2024-01-18T00:30:00Z,2:01
1,DAL,American Airlines Center,20103,1,2023-11-01T20:30:00Z,2023-11-02T00:30:00Z,2:07
0,ATL,State Farm Arena,18305,1,2023-12-29T19:30:00Z,2023-12-30T00:30:00Z,2:09
1,DEN,Ball Arena,19842,1,2023-10-24T19:30:00Z,2023-10-24T23:30:00Z,2:17
0,MIA,Kaseya Center,19600,1,2023-12-08T20:00:00Z,2023-12-09T01:00:00Z,2:12
0,DET,Little Caesars Arena,19894,0,2024-03-15T19:00:00Z,2024-03-15T23:00:00Z,2:01
1,ORL,Amway Center,19354,1,2023-11-11T18:00:00Z,2023-11-11T23:00:00Z,2:25
1,PHX,Footprint Center,17071,1,2024-01-05T21:00:00Z,2024-01-06T02:00:00Z,2:07
1,CHI,United Center,21149,1,2024-01-10T20:00:00Z,2024-01-11T01:00:00Z,2:35
0,PHX,Footprint Center,17071,1,2024-03-02T21:00:00Z,2024-03-03T02:00:00Z,2:33
0,CHI,United Center,21363,1,2024-03-11T20:00:00Z,2024-03-12T00:00:00Z,1:58
0,POR,Moda Center,18570,0,2023-11-17T22:00:00Z,2023-11-18T03:00:00Z,2:09
1,IND,Gainbridge Fieldhouse,17274,1,2024-01-03T19:00:00Z,2024-01-04T00:00:00Z,2:35
1,LAC,Crypto.com Arena,17060,0,2023-12-12T22:30:00Z,2023-12-13T03:30:00Z,2:11
0,MIA,Kaseya Center,20049,1,2024-02-11T14:00:00Z,2024-02-11T19:00:00Z,2:22
1,MIL,Fiserv Forum,17493,1,2024-04-09T19:30:00Z,2024-04-09T23:30:00Z,1:58
1,BKN,Barclays Center,18075,1,2024-03-02T15:00:00Z,2024-03-02T20:00:00Z,2:18
1,MIA,Kaseya Center,19650,1,2024-01-12T20:00:00Z,2024-01-13T01:00:00Z,2:26
1,MIL,Fiserv Forum,17341,1,2023-11-08T20:00:00Z,2023-11-09T01:00:00Z,2:21
0,MEM,FedExForum,16385,0,2024-01-03T20:00:00Z,2024-01-04T01:00:00Z,2:14
1,BKN,Barclays Center,17361,0,2023-11-14T19:30:00Z,2023-11-15T00:30:00Z,2:07
0,NYK,Madison Square Garden,19812,1,2024-03-05T19:30:00Z,2024-03-06T00:30:00Z,2:07
1,POR,Moda Center,18117,0,2024-03-09T22:00:00Z,2024-03-10T03:00:00Z,2:24
1,PHI,Wells Fargo Center,19796,1,2023-11-04T13:00:00Z,2023-11-04T17:00:00Z,2:17
0,BKN,Barclays Center,17893,1,2024-01-15T19:30:00Z,2024-01-16T00:30:00Z,2:28
1,PHI,Wells Fargo Center,19768,1,2023-10-29T19:30:00Z,2023-10-29T23:30:00Z,2:12
0,SAC,Golden 1 Center,17832,1,2024-02-26T22:00:00Z,2024-02-27T03:00:00Z,2:08
0,UTA,Delta Center,18206,1,2024-03-16T21:30:00Z,2024-03-17T01:30:00Z,2:08
0,CHA,Spectrum Center,15855,0,2023-10-27T19:00:00Z,2023-10-27T23:00:00Z,2:25
0,POR,Moda Center,19335,1,2023-12-28T22:00:00Z,2023-12-29T03:00:00Z,2:16
0,MIA,Kaseya Center,20074,1,2024-01-25T19:30:00Z,2024-01-26T00:30:00Z,2:02
1,TOR,Scotiabank Arena,19800,1,2023-11-29T19:30:00Z,2023-11-30T00:30:00Z,2:12
1,ATL,State Farm Arena,17900,1,2024-03-23T19:30:00Z,2024-03-23T23:30:00Z,1:59
1,DEN,Ball Arena,19845,1,2024-04-10T22:00:00Z,2024-04-11T02:00:00Z,2:21
0,POR,Moda Center,17906,0,2024-02-13T22:00:00Z,2024-02-14T03:00:00Z,2:12
1,LAC,Crypto.com Arena,19370,1,2023-12-14T22:30:00Z,2023-12-15T03:30:00Z,2:19
0,BKN,Barclays Center,17935,1,2023-11-06T19:30:00Z,2023-11-07T00:30:00Z,2:20
0,DET,Little Caesars Arena,17833,0,2024-01-10T19:00:00Z,2024-01-11T00:00:00Z,2:06
0,ATL,State Farm Arena,17700,1,2024-03-30T19:30:00Z,2024-03-30T23:30:00Z,2:26
1,POR,Moda Center,17819,0,2023-11-22T22:00:00Z,2023-11-23T03:00:00Z,2:08
1,DEN,Ball Arena,19801,1,2024-01-29T21:00:00Z,2024-01-30T02:00:00Z,2:20
0,DAL,American Airlines Center,20310,1,2023-12-20T20:30:00Z,2023-12-21T01:30:00Z,2:19
0,DET,Little Caesars Arena,19122,0,2024-02-02T19:00:00Z,2024-02-03T00:00:00Z,2:06
1,NYK,Madison Square Garden,19013,0,2024-02-06T19:30:00Z,2024-02-07T00:30:00Z,2:06
1,DEN,Ball Arena,19741,1,2024-04-02T21:00:00Z,2024-04-03T01:00:00Z,2:11
1,IND,Gainbridge Fieldhouse,17274,1,2024-04-07T17:00:00Z,2024-04-07T21:00:00Z,2:28
1,MIL,Fiserv Forum,17635,1,2024-03-14T20:00:00Z,2024-03-15T00:00:00Z,2:15
1,NYK,Madison Square Garden,19133,0,2024-01-30T19:30:00Z,2024-01-31T00:30:00Z,2:04
1,MIN,Target Center,18024,1,2023-11-20T20:00:00Z,2023-11-21T01:00:00Z,2:19
1,ATL,State Farm Arena,17743,1,2024-03-28T19:30:00Z,2024-03-28T23:30:00Z,2:24
1,PHX,Footprint Center,17071,1,2024-04-05T22:00:00Z,2024-04-06T02:00:00Z,2:08
1,ORL,Kia Center,19074,1,2024-02-08T19:00:00Z,2024-02-09T00:00:00Z,2:15
1,CLE,Rocket Mortgage FieldHouse,19432,1,2023-12-20T19:00:00Z,2023-12-21T00:00:00Z,2:08
0,NOP,Smoothie King Center,17286,1,2023-10-30T20:00:00Z,2023-10-31T00:00:00Z,2:08
0,WAS,Capital One Arena,15156,0,2024-01-15T15:00:00Z,2024-01-15T20:00:00Z,2:07
0,CHI,United Center,21726,1,2024-03-25T20:00:00Z,2024-03-26T00:00:00Z,2:19
0,TOR,Scotiabank Arena,19800,1,2023-12-01T19:30:00Z,2023-12-02T00:30:00Z,2:13
1,GSW,Chase Center,18064,1,2024-01-24T22:00:00Z,2024-01-25T03:00:00Z,2:07
0,PHX,Footprint Center,17071,1,2023-12-15T22:00:00Z,2023-12-16T03:00:00Z,2:22
0,ATL,State Farm Arena,16524,0,2024-02-12T19:30:00Z,2024-02-13T00:30:00Z,2:14
0,MEM,FedExForum,16379,0,2023-12-11T20:00:00Z,2023-12-12T01:00:00Z,2:11
0,WAS,Capital One Arena,20333,1,2024-04-12T19:00:00Z,2024-04-12T23:00:00Z,2:20
0,DET,Little Caesars Arena,20062,1,2024-03-09T19:00:00Z,2024-03-10T00:00:00Z,2:18
1,PHI,Wells Fargo Center,19773,1,2023-11-02T19:00:00Z,2023-11-02T23:00:00Z,2:16
1,POR,Moda Center,17021,0,2024-01-17T22:00:00Z,2024-01-18T03:00:00Z,2:13
1,CHI,United Center,19555,0,2023-10-27T20:00:00Z,2023-10-28T00:00:00Z,2:45
1,SAS,Moody Center,16057,1,2024-03-17T19:00:00Z,2024-03-17T23:00:00Z,2:35
1,CHI,United Center,21441,1,2024-01-20T20:00:00Z,2024-01-21T01:00:00Z,2:06
1,BOS,TD Garden,19156,1,2024-04-03T19:30:00Z,2024-04-03T23:30:00Z,2:14
1,CLE,Rocket Mortgage FieldHouse,19432,1,2024-02-05T19:00:00Z,2024-02-06T00:00:00Z,2:08
1,BOS,TD Garden,19156,1,2023-12-17T15:00:00Z,2023-12-17T20:00:00Z,2:10
0,DAL,American Airlines Center,20373,1,2024-01-27T21:00:00Z,2024-01-28T02:00:00Z,2:23
0,GSW,Chase Center,18064,1,2023-11-16T22:00:00Z,2023-11-17T03:00:00Z,2:10
1,DEN,Ball Arena,19536,1,2024-03-25T21:00:00Z,2024-03-26T01:00:00Z,2:15
0,HOU,Toyota Center,18055,1,2024-01-05T20:00:00Z,2024-01-06T01:00:00Z,2:04
1,MIL,Fiserv Forum,17865,1,2023-11-13T20:00:00Z,2023-11-14T01:00:00Z,2:16
0,DEN,Ball Arena,19589,1,2024-03-05T22:00:00Z,2024-03-06T03:00:00Z,2:25
1,NYK,Madison Square Garden,19812,1,2024-03-12T19:30:00Z,2024-03-12T23:30:00Z,2:11
1,TOR,Scotiabank Arena,19423,0,2023-12-13T19:30:00Z,2023-12-14T00:30:00Z,2:19
1,BOS,TD Garden,19156,1,2024-02-09T19:30:00Z,2024-02-10T00:30:00Z,2:14
1,MIN,Target Center,18024,1,2024-04-09T20:00:00Z,2024-04-10T00:00:00Z,2:12
0,POR,Moda Center,18660,0,2024-03-22T22:00:00Z,2024-03-23T02:00:00Z,2:06
1,UTA,Delta Center,18206,1,2023-11-27T21:00:00Z,2023-11-28T02:00:00Z,2:18
0,DET,Little Caesars Arena,17201,0,2024-01-22T19:00:00Z,2024-01-23T00:00:00Z,2:19
1,DEN,Ball Arena,19737,0,2023-11-08T22:00:00Z,2023-11-09T03:00:00Z,2:21
0,IND,Gainbridge Fieldhouse,17274,1,2024-01-06T19:00:00Z,2024-01-07T00:00:00Z,2:11
1,DEN,Ball Arena,19638,1,2024-01-12T22:00:00Z,2024-01-13T03:00:00Z,2:16
0,CHA,Spectrum Center,15928,0,2024-03-05T19:00:00Z,2024-03-06T00:00:00Z,2:08
0,GSW,Chase Center,18064,1,2023-11-12T20:30:00Z,2023-11-13T01:30:00Z,2:25
0,CHA,Spectrum Center,17425,0,2024-04-09T19:00:00Z,2024-04-09T23:00:00Z,2:01
0,NYK,Madison Square Garden,19812,1,2024-02-10T19:30:00Z,2024-02-11T00:30:00Z,2:06
1,BOS,TD Garden,19156,1,2023-12-12T19:30:00Z,2023-12-13T00:30:00Z,2:03
0,MIN,Target Center,18024,1,2024-01-22T20:00:00Z,2024-01-23T01:00:00Z,2:11
1,BKN,Barclays Center,17817,1,2023-11-25T18:00:00Z,2023-11-25T23:00:00Z,2:11
1,GSW,Chase Center,18064,1,2024-03-20T22:00:00Z,2024-03-21T02:00:00Z,2:12
0,DET,Little Caesars Arena,19897,0,2024-03-20T19:00:00Z,2024-03-20T23:00:00Z,2:09
1,PHX,Footprint Center,17071,1,2023-10-28T22:00:00Z,2023-10-29T02:00:00Z,2:13
0,UTA,Delta Center,18206,1,2024-01-18T21:00:00Z,2024-01-19T02:00:00Z,2:24
1,DAL,American Airlines Center,20377,1,2024-03-17T15:30:00Z,2024-03-17T19:30:00Z,2:20
1,ATL,State Farm Arena,17664,1,2023-12-18T19:30:00Z,2023-12-19T00:30:00Z,2:25
0,DAL,American Airlines Center,20377,1,2024-02-03T20:30:00Z,2024-02-04T01:30:00Z,2:18
0,HOU,Toyota Center,18055,1,2024-04-04T20:00:00Z,2024-04-05T00:00:00Z,2:13
1,MIN,Target Center,18024,1,2024-03-27T20:00:00Z,2024-03-28T00:00:00Z,2:02
1,CHA,Spectrum Center,19134,1,2023-11-20T19:00:00Z,2023-11-21T00:00:00Z,2:20
0,CHA,Spectrum Center,17633,0,2024-01-27T19:00:00Z,2024-01-28T00:00:00Z,2:04
1,PHX,Footprint Center,17071,1,2023-12-31T20:00:00Z,2024-01-01T01:00:00Z,2:05
0,IND,Gainbridge Fieldhouse,16580,0,2024-03-07T19:00:00Z,2024-03-08T00:00:00Z,2:24
1,CHI,United Center,21700,1,2024-02-28T20:00:00Z,2024-02-29T01:00:00Z,2:44
0,DAL,American Airlines Center,20116,1,2024-01-09T20:30:00Z,2024-01-10T01:30:00Z,2:18
0,DET,Little Caesars Arena,20062,1,2023-11-06T19:00:00Z,2023-11-07T00:00:00Z,2:09
0,CLE,Rocket Mortgage FieldHouse,19432,1,2024-04-14T13:00:00Z,2024-04-14T17:00:00Z,1:48
1,DAL,American Airlines Center,20377,1,2024-02-22T19:30:00Z,2024-02-23T00:30:00Z,2:25
1,BOS,TD Garden,19156,1,2023-12-15T19:30:00Z,2023-12-16T00:30:00Z,2:07
0,PHI,Wells Fargo Center,20015,1,2024-02-14T19:00:00Z,2024-02-15T00:00:00Z,2:13
0,DET,Little Caesars Arena,18924,0,2023-12-02T19:00:00Z,2023-12-03T00:00:00Z,2:06
1,UTA,Delta Center,18206,1,2024-04-11T21:00:00Z,2024-04-12T01:00:00Z,2:18
1,SAC,Golden 1 Center,18332,1,2024-03-13T22:00:00Z,2024-03-14T02:00:00Z,2:13
1,CHA,Spectrum Center,11526,0,2023-12-08T19:00:00Z,2023-12-09T00:00:00Z,2:17
1,NYK,Madison Square Garden,19111,0,2023-11-28T19:30:00Z,2023-11-29T00:30:00Z,2:03
0,WAS,Capital One Arena,16293,0,2023-12-26T19:00:00Z,2023-12-27T00:00:00Z,2:23
0,CLE,Rocket Mortgage FieldHouse,19432,1,2023-10-31T19:30:00Z,2023-10-31T23:30:00Z,2:14
1,BOS,TD Garden,19156,1,2024-01-13T19:00:00Z,2024-01-14T00:00:00Z,2:07
1,GSW,Chase Center,18064,1,2024-02-23T22:00:00Z,2024-02-24T03:00:00Z,2:08
0,IND,Gainbridge Fieldhouse,17274,1,2023-12-23T19:00:00Z,2023-12-24T00:00:00Z,2:21
1,WAS,Capital One Arena,16492,0,2024-04-02T19:00:00Z,2024-04-02T23:00:00Z,2:13
0,BOS,TD Garden,19156,1,2024-02-01T19:30:00Z,2024-02-02T00:30:00Z,2:13
1,OKC,Paycom Center,18203,1,2023-12-26T20:00:00Z,2023-12-27T01:00:00Z,2:15
1,PHX,Footprint Center,17071,1,2023-11-21T21:00:00Z,2023-11-22T02:00:00Z,2:14
1,SAC,Golden 1 Center,18037,1,2024-04-14T15:30:00Z,2024-04-14T19:30:00Z,2:06
0,SAS,Frost Bank Center,18751,1,2024-03-12T20:30:00Z,2024-03-13T00:30:00Z,2:15
0,MEM,FedExForum,17255,0,2024-02-23T20:00:00Z,2024-02-24T01:00:00Z,2:12
0,POR,Moda Center,18071,0,2024-01-14T21:00:00Z,2024-01-15T02:00:00Z,2:14
1,ATL,State Farm Arena,15504,0,2023-10-30T19:30:00Z,2023-10-30T23:30:00Z,2:05
1,SAC,Golden 1 Center,17794,1,2023-12-22T22:00:00Z,2023-12-23T03:00:00Z,2:18
0,BKN,Barclays Center,18071,1,2023-12-20T19:30:00Z,2023-12-21T00:30:00Z,2:13
1,HOU,Toyota Center,18055,1,2024-02-02T20:00:00Z,2024-02-03T01:00:00Z,2:08
0,MIL,Fiserv Forum,17577,1,2024-02-08T20:00:00Z,2024-02-09T01:00:00Z,2:05
0,HOU,Toyota Center,18055,1,2024-03-31T19:00:00Z,2024-03-31T23:00:00Z,1:58
0,MEM,FedExForum,17794,1,2024-04-06T20:00:00Z,2024-04-07T00:00:00Z,2:15
1,LAL,Crypto.com Arena,18997,1,2024-03-08T22:00:00Z,2024-03-09T03:00:00Z,2:22
1,SAC,Golden 1 Center,18097,1,2023-11-10T22:00:00Z,2023-11-11T03:00:00Z,2:24
1,NOP,Smoothie King Center,18434,1,2023-12-31T19:00:00Z,2024-01-01T00:00:00Z,2:07
1,HOU,Toyota Center,15130,0,2023-11-06T20:00:00Z,2023-11-07T01:00:00Z,2:18
0,PHX,Footprint Center,17071,1,2024-01-07T20:00:00Z,2024-01-08T01:00:00Z,2:20
1,ORL,Kia Center,17848,0,2024-02-29T19:00:00Z,2024-03-01T00:00:00Z,2:15
1,BOS,TD Garden,19156,1,2024-02-14T19:30:00Z,2024-02-15T00:30:00Z,1:54
1,ORL,Kia Center,18846,1,2024-04-14T13:00:00Z,2024-04-14T17:00:00Z,2:09
1,PHI,Wells Fargo Center,19762,1,2023-12-11T19:00:00Z,2023-12-12T00:00:00Z,2:13
1,CLE,Rocket Mortgage FieldHouse,19432,1,2024-02-14T19:30:00Z,2024-02-15T00:30:00Z,2:20
1,NYK,Madison Square Garden,19812,1,2024-04-14T13:00:00Z,2024-04-14T17:00:00Z,2:35
1,ORL,Amway Center,19032,1,2023-12-11T19:00:00Z,2023-12-12T00:00:00Z,2:25
1,OKC,Paycom Center,18203,1,2024-03-08T20:00:00Z,2024-03-09T01:00:00Z,2:07
0,CHA,Spectrum Center,15673,0,2023-11-14T19:00:00Z,2023-11-15T00:00:00Z,2:14
1,OKC,Paycom Center,18203,1,2023-12-31T19:00:00Z,2024-01-01T00:00:00Z,2:19
1,CHI,United Center,18031,0,2023-11-06T20:00:00Z,2023-11-07T01:00:00Z,2:06
1,DEN,Ball Arena,19623,1,2024-01-07T20:00:00Z,2024-01-08T01:00:00Z,2:16
1,BKN,Barclays Center,17284,0,2024-02-29T19:30:00Z,2024-03-01T00:30:00Z,2:05
1,GSW,Chase Center,18064,1,2023-12-22T22:00:00Z,2023-12-23T03:00:00Z,2:16
0,TOR,Scotiabank Arena,19800,1,2023-12-20T19:30:00Z,2023-12-21T00:30:00Z,1:57
0,MEM,FedExForum,17794,1,2024-02-02T20:00:00Z,2024-02-03T01:00:00Z,2:20
1,PHX,Footprint Center,17071,1,2024-02-08T21:00:00Z,2024-02-09T02:00:00Z,2:10
0,NYK,Madison Square Garden,19812,1,2024-03-31T19:00:00Z,2024-03-31T23:00:00Z,2:33
1,BKN,Barclays Center,17732,1,2024-04-06T19:00:00Z,2024-04-06T23:00:00Z,2:08
0,NOP,Smoothie King Center,18538,1,2023-12-26T20:00:00Z,2023-12-27T01:00:00Z,2:52
0,PHI,Wells Fargo Center,20565,1,2023-11-21T19:30:00Z,2023-11-22T00:30:00Z,2:51
1,MIL,Fiserv Forum,17448,1,2023-12-05T19:30:00Z,2023-12-06T00:30:00Z,2:21
0,UTA,Delta Center,18206,1,2024-03-12T21:00:00Z,2024-03-13T01:00:00Z,2:00
1,HOU,Toyota Center,18055,1,2024-02-23T20:00:00Z,2024-02-24T01:00:00Z,2:32
1,PHI,Wells Fargo Center,20822,1,2024-01-15T13:00:00Z,2024-01-15T18:00:00Z,2:25
0,TOR,Scotiabank Arena,19266,0,2023-10-30T19:30:00Z,2023-10-30T23:30:00Z,2:03
0,CHA,Spectrum Center,19165,1,2023-12-23T19:00:00Z,2023-12-24T00:00:00Z,2:09
0,TOR,Scotiabank Arena,19800,1,2024-04-02T19:00:00Z,2024-04-02T23:00:00Z,2:06
1,NYK,Madison Square Garden,19812,1,2024-02-01T19:30:00Z,2024-02-02T00:30:00Z,2:17
1,BOS,TD Garden,19156,1,2024-03-14T19:30:00Z,2024-03-14T23:30:00Z,2:03
1,ORL,Amway Center,18655,0,2023-12-08T19:00:00Z,2023-12-09T00:00:00Z,2:09
0,MIA,Kaseya Center,19691,1,2023-11-28T19:30:00Z,2023-11-29T00:30:00Z,2:30
0,DET,Little Caesars Arena,19811,0,2023-12-26T19:00:00Z,2023-12-27T00:00:00Z,2:27
0,PHX,Footprint Center,17071,1,2023-10-31T22:00:00Z,2023-11-01T02:00:00Z,2:28
0,ATL,State Farm Arena,17108,1,2024-01-13T19:30:00Z,2024-01-14T00:30:00Z,2:13
0,NOP,Smoothie King Center,18658,1,2024-02-23T20:00:00Z,2024-02-24T01:00:00Z,2:26
1,BOS,TD Garden,19156,1,2024-04-14T13:00:00Z,2024-04-14T17:00:00Z,2:02
0,CHI,United Center,20313,0,2024-02-22T20:00:00Z,2024-02-23T01:00:00Z,2:03
1,WAS,Capital One Arena,15208,0,2023-12-15T19:00:00Z,2023-12-16T00:00:00Z,2:17
1,ORL,Kia Center,19259,1,2024-02-14T19:00:00Z,2024-02-15T00:00:00Z,2:08
1,BKN,Barclays Center,17966,1,2023-12-02T19:00:00Z,2023-12-03T00:00:00Z,2:20
0,POR,Moda Center,19335,1,2024-04-11T22:00:00Z,2024-04-12T02:00:00Z,2:06
1,NYK,Madison Square Garden,19812,1,2024-01-01T15:00:00Z,2024-01-01T20:00:00Z,2:28
1,IND,Gainbridge Fieldhouse,16744,0,2023-11-03T19:00:00Z,2023-11-03T23:00:00Z,2:20
1,DET,Little Caesars Arena,19011,0,2024-03-07T19:00:00Z,2024-03-08T00:00:00Z,2:14
1,DEN,Ball Arena,19628,1,2024-02-28T21:00:00Z,2024-02-29T02:00:00Z,2:03
1,NYK,Madison Square Garden,19812,1,2024-01-09T19:30:00Z,2024-01-10T00:30:00Z,2:05
0,POR,Moda Center,18187,0,2023-11-05T21:00:00Z,2023-11-06T02:00:00Z,2:14
0,MIA,Kaseya Center,19819,1,2023-12-18T19:30:00Z,2023-12-19T00:30:00Z,2:11
0,SAS,Frost Bank Center,18354,1,2024-02-03T20:30:00Z,2024-02-04T01:30:00Z,2:17
1,NYK,Madison Square Garden,19812,1,2024-04-04T19:30:00Z,2024-04-04T23:30:00Z,2:28
0,OKC,Paycom Center,17438,0,2024-03-27T20:00:00Z,2024-03-28T00:00:00Z,2:33
1,LAL,Crypto.com Arena,18997,1,2023-11-19T21:30:00Z,2023-11-20T02:30:00Z,2:22
0,BOS,TD Garden,19156,1,2024-01-27T19:00:00Z,2024-01-28T00:00:00Z,2:03
0,CLE,Rocket Mortgage FieldHouse,19432,1,2024-03-20T19:00:00Z,2024-03-20T23:00:00Z,2:15
0,OKC,Paycom Center,18203,1,2023-10-29T15:30:00Z,2023-10-29T19:30:00Z,2:00
0,TOR,Scotiabank Arena,19312,0,2024-01-18T19:30:00Z,2024-01-19T00:30:00Z,2:13
1,ORL,Kia Center,18846,1,2024-03-17T18:00:00Z,2024-03-17T22:00:00Z,2:10
1,PHI,Wells Fargo Center,19796,1,2024-04-09T19:00:00Z,2024-04-09T23:00:00Z,2:08
1,ATL,State Farm Arena,17503,1,2024-02-10T19:30:00Z,2024-02-11T00:30:00Z,2:19
1,LAC,Crypto.com Arena,17102,0,2023-12-11T22:30:00Z,2023-12-12T03:30:00Z,2:28
0,DAL,American Airlines Center,20277,1,2024-01-22T20:30:00Z,2024-01-23T01:30:00Z,2:07
0,WAS,Capital One Arena,16276,0,2023-11-25T19:00:00Z,2023-11-26T00:00:00Z,2:03
1,OKC,Paycom Center,18203,0,2024-03-20T20:00:00Z,2024-03-21T00:00:00Z,2:16
0,DAL,American Airlines Center,20063,1,2023-11-08T20:30:00Z,2023-11-09T01:30:00Z,2:19
1,SAC,Golden 1 Center,17941,1,2024-01-05T22:00:00Z,2024-01-06T03:00:00Z,2:22
1,MIN,Target Center,18024,1,2024-01-12T20:00:00Z,2024-01-13T01:00:00Z,2:11
1,LAL,Crypto.com Arena,18997,1,2024-03-04T22:30:00Z,2024-03-05T03:30:00Z,2:05
