home_win,home_team_tricode,arena,attendance,sellout,gameTimeET,gameTimeUTC,duration
1,NOP,Smoothie King Center,16032,0,2024-01-23T20:00:00Z,2024-01-24T01:00:00Z,2:06
1,BOS,TD Garden,19156,1,2023-11-26T18:00:00Z,2023-11-26T23:00:00Z,2:08
1,LAC,Crypto.com Arena,19370,1,2024-01-16T22:00:00Z,2024-01-17T03:00:00Z,2:20
0,TOR,Scotiabank Arena,19800,1,2023-10-28T19:30:00Z,2023-10-28T23:30:00Z,2:10
1,MIN,Target Center,18024,1,2023-11-04T20:00:00Z,2023-11-05T00:00:00Z,2:10
1,ORL,Kia Center,18846,1,2024-03-19T19:00:00Z,2024-03-19T23:00:00Z,2:02
0,MIA,Kaseya Center,20040,1,2024-01-19T20:00:00Z,2024-01-20T01:00:00Z,2:34
1,CHA,Spectrum Center,16374,0,2024-04-05T19:00:00Z,2024-04-05T23:00:00Z,2:14
1,TOR,Scotiabank Arena,19288,0,2023-12-18T19:30:00Z,2023-12-19T00:30:00Z,2:05
0,DET,Little Caesars Arena,17982,0,2024-02-04T15:00:00Z,2024-02-04T20:00:00Z,2:08
1,TOR,Scotiabank Arena,19182,0,2023-11-19T16:00:00Z,2023-11-19T21:00:00Z,2:12
1,SAS,Frost Bank Center,17274,0,2024-01-26T21:30:00Z,2024-01-27T02:30:00Z,2:09
0,WAS,Capital One Arena,15159,0,2024-03-27T19:00:00Z,2024-03-27T23:00:00Z,2:23
1,PHX,Footprint Center,17071,1,2024-03-07T21:00:00Z,2024-03-08T02:00:00Z,2:14
1,PHX,Footprint Center,17071,1,2024-01-01T21:00:00Z,2024-01-02T02:00:00Z,2:12
1,DEN,Ball Arena,19729,1,2023-11-03T22:00:00Z,2023-11-04T02:00:00Z,2:18
0,ORL,Kia Center,19223,1,2024-01-09T19:00:00Z,2024-01-10T00:00:00Z,2:08
1,DAL,American Airlines Center,20052,1,2023-11-05T19:30:00Z,2023-11-06T00:30:00Z,2:22
1,MIL,Fiserv Forum,17607,1,2024-02-27T20:00:00Z,2024-02-28T01:00:00Z,2:01
1,MEM,FedExForum,16544,0,2024-02-15T20:30:00Z,2024-02-16T01:30:00Z,2:29
0,DAL,American Airlines Center,20274,1,2024-04-12T20:30:00Z,2024-04-13T00:30:00Z,1:54
1,CHI,United Center,20511,0,2023-12-02T20:00:00Z,2023-12-03T01:00:00Z,2:15
1,GSW,Chase Center,18064,1,2023-11-24T22:00:00Z,2023-11-25T03:00:00Z,2:24
1,NYK,Madison Square Garden,19812,1,2023-12-25T12:00:00Z,2023-12-25T17:00:00Z,2:24
1,DAL,American Airlines Center,20411,1,2024-03-13T20:30:00Z,2024-03-14T00:30:00Z,2:14
1,MIN,Target Center,18024,1,2023-12-06T19:30:00Z,2023-12-07T00:30:00Z,2:14
0,PHI,Wells Fargo Center,19831,1,2024-02-25T13:00:00Z,2024-02-25T18:00:00Z,2:14
1,LAC,Crypto.com Arena,14014,0,2023-10-31T22:30:00Z,2023-11-01T02:30:00Z,2:17
0,MEM,FedExForum,16598,0,2024-01-13T20:00:00Z,2024-01-14T01:00:00Z,2:03
0,OKC,Paycom Center,18203,1,2023-12-23T20:00:00Z,2023-12-24T01:00:00Z,2:08
0,WAS,Capital One Arena,15860,0,2024-02-07T19:00:00Z,2024-02-08T00:00:00Z,2:14
1,MIL,Fiserv Forum,17928,1,2023-12-21T20:00:00Z,2023-12-22T01:00:00Z,2:25
1,OKC,Paycom Center,16723,0,2024-01-31T20:00:00Z,2024-02-01T01:00:00Z,2:16
0,MIL,Fiserv Forum,17536,1,2024-04-07T19:00:00Z,2024-04-07T23:00:00Z,2:15
1,PHI,Wells Fargo Center,20733,1,2024-04-02T19:30:00Z,2024-04-02T23:30:00Z,2:24
0,DET,Little Caesars Arena,12862,0,2023-12-06T19:00:00Z,2023-12-07T00:00:00Z,1:59
0,LAC,Crypto.com Arena,19370,1,2024-03-12T22:00:00Z,2024-03-13T02:00:00Z,2:18
0,BKN,Barclays Center,18199,1,2023-12-27T19:30:00Z,2023-12-28T00:30:00Z,2:16
1,IND,Gainbridge Fieldhouse,17274,1,2023-11-24T20:00:00Z,2023-11-25T01:00:00Z,2:14
1,MIL,Fiserv Forum,17612,1,2024-01-14T19:00:00Z,2024-01-15T00:00:00Z,2:41
0,IND,Gainbridge Fieldhouse,15021,0,2023-10-30T19:00:00Z,2023-10-30T23:00:00Z,2:26
0,UTA,Delta Center,18206,1,2024-02-22T21:00:00Z,2024-02-23T02:00:00Z,2:14
0,POR,Moda Center,18690,0,2023-12-21T22:00:00Z,2023-12-22T03:00:00Z,2:23
0,SAS,Frost Bank Center,18718,1,2024-03-31T19:00:00Z,2024-03-31T23:00:00Z,2:11
0,MIN,Target Center,18024,1,2024-02-02T20:00:00Z,2024-02-03T01:00:00Z,2:16
1,BOS,TD Garden,19156,1,2023-11-10T19:30:00Z,2023-11-11T00:30:00Z,2:11
1,DET,Little Caesars Arena,18411,0,2023-12-30T18:00:00Z,2023-12-30T23:00:00Z,2:25
0,MEM,FedExForum,16667,0,2024-03-08T20:00:00Z,2024-03-09T01:00:00Z,2:11
1,LAL,Crypto.com Arena,18997,1,2024-02-29T22:30:00Z,2024-03-01T03:30:00Z,2:23
