home_win,home_team_tricode,away_team_tricode,home_team_score,away_team_score,arena,gameTimeET,duration,attendance,sellout
,WAS,BKN,119,122,Capital One Arena,2024-03-27T19:00:00Z,2:23,15159,0
,PHX,TOR,120,113,Footprint Center,2024-03-07T21:00:00Z,2:14,17071,1
,PHX,POR,109,88,Footprint Center,2024-01-01T21:00:00Z,2:12,17071,1
,DEN,DAL,125,114,Ball Arena,2023-11-03T22:00:00Z,2:18,19729,1
,ORL,MIN,92,113,Kia Center,2024-01-09T19:00:00Z,2:08,19223,1
,DAL,CHA,124,118,American Airlines Center,2023-11-05T19:30:00Z,2:22,20052,1
,MIL,CHA,123,85,Fiserv Forum,2024-02-27T20:00:00Z,2:01,17607,1
,MEM,MIL,113,110,FedExForum,2024-02-15T20:30:00Z,2:29,16544,0
,DAL,DET,89,107,American Airlines Center,2024-04-12T20:30:00Z,1:54,20274,1
,CHI,NOP,124,118,United Center,2023-12-02T20:00:00Z,2:15,20511,0
,GSW,SAS,118,112,Chase Center,2023-11-24T22:00:00Z,2:24,18064,1
,NYK,MIL,129,122,Madison Square Garden,2023-12-25T12:00:00Z,2:24,19812,1
,DAL,GSW,109,99,American Airlines Center,2024-03-13T20:30:00Z,2:14,20411,1
,MIN,SAS,102,94,Target Center,2023-12-06T19:30:00Z,2:14,18024,1
,PHI,MIL,98,119,Wells Fargo Center,2024-02-25T13:00:00Z,2:14,19831,1
,LAC,ORL,118,102,Crypto.com Arena,2023-10-31T22:30:00Z,2:17,14014,0
,MEM,NYK,94,106,FedExForum,2024-01-13T20:00:00Z,2:03,16598,0
,OKC,LAL,120,129,Paycom Center,2023-12-23T20:00:00Z,2:08,18203,1
,WAS,CLE,106,114,Capital One Arena,2024-02-07T19:00:00Z,2:14,15860,0
,MIL,ORL,118,114,Fiserv Forum,2023-12-21T20:00:00Z,2:25,17928,1
,OKC,DEN,105,100,Paycom Center,2024-01-31T20:00:00Z,2:16,16723,0
,MIL,NYK,109,122,Fiserv Forum,2024-04-07T19:00:00Z,2:15,17536,1
,PHI,OKC,109,105,Wells Fargo Center,2024-04-02T19:30:00Z,2:24,20733,1
,DET,MEM,102,116,Little Caesars Arena,2023-12-06T19:00:00Z,1:59,12862,0
,LAC,MIN,100,118,Crypto.com Arena,2024-03-12T22:00:00Z,2:18,19370,1
,BKN,MIL,122,144,Barclays Center,2023-12-27T19:30:00Z,2:16,18199,1
