date,game_id,game_url,game_type,season,game_number,away_team,home_team
2007-07-06,1520700001,https://www.nba.com/game/phi-vs-sas-1520700001,summer,2008,1,PHI,SAS
2007-07-06,1520700002,https://www.nba.com/game/sea-vs-dal-1520700002,summer,2008,2,SEA,DAL
2007-07-06,1520700003,https://www.nba.com/game/chn-vs-mem-1520700003,summer,2008,3,CHN,MEM
2007-07-06,1520700004,https://www.nba.com/game/por-vs-bos-1520700004,summer,2008,4,POR,BOS
2007-07-07,1520700008,https://www.nba.com/game/chn-vs-sac-1520700008,summer,2008,8,CHN,SAC
2007-07-07,1520700006,https://www.nba.com/game/det-vs-phi-1520700006,summer,2008,6,DET,PHI
2007-07-07,1520700007,https://www.nba.com/game/sas-vs-cle-1520700007,summer,2008,7,SAS,CLE
2007-07-07,1520700005,https://www.nba.com/game/gsw-vs-nok-1520700005,summer,2008,5,GSW,NOK
2007-07-08,1520700009,https://www.nba.com/game/dal-vs-por-1520700009,summer,2008,9,DAL,POR
2007-07-08,1520700010,https://www.nba.com/game/lal-vs-mil-1520700010,summer,2008,10,LAL,MIL
2007-07-08,1520700011,https://www.nba.com/game/chn-vs-cle-1520700011,summer,2008,11,CHN,CLE
2007-07-08,1520700012,https://www.nba.com/game/den-vs-lac-1520700012,summer,2008,12,DEN,LAC
2007-07-09,1520700013,https://www.nba.com/game/sas-vs-bos-1520700013,summer,2008,13,SAS,BOS
2007-07-09,1520700014,https://www.nba.com/game/det-vs-mem-1520700014,summer,2008,14,DET,MEM
2007-07-09,1520700015,https://www.nba.com/game/phi-vs-gsw-1520700015,summer,2008,15,PHI,GSW
2007-07-09,1520700017,https://www.nba.com/game/min-vs-nok-1520700017,summer,2008,17,MIN,NOK
2007-07-09,1520700016,https://www.nba.com/game/sea-vs-nyk-1520700016,summer,2008,16,SEA,NYK
2007-07-09,1520700018,https://www.nba.com/game/cle-vs-phx-1520700018,summer,2008,18,CLE,PHX
2007-07-10,1520700022,https://www.nba.com/game/nyk-vs-chn-1520700022,summer,2008,22,NYK,CHN
2007-07-10,1520700024,https://www.nba.com/game/hou-vs-lac-1520700024,summer,2008,24,HOU,LAC
2007-07-10,1520700021,https://www.nba.com/game/phi-vs-lal-1520700021,summer,2008,21,PHI,LAL
2007-07-10,1520700020,https://www.nba.com/game/dal-vs-den-1520700020,summer,2008,20,DAL,DEN
2007-07-10,1520700019,https://www.nba.com/game/sac-vs-was-1520700019,summer,2008,19,SAC,WAS
2007-07-10,1520700023,https://www.nba.com/game/sas-vs-gsw-1520700023,summer,2008,23,SAS,GSW
2007-07-11,1520700025,https://www.nba.com/game/sas-vs-min-1520700025,summer,2008,25,SAS,MIN
2007-07-11,1520700026,https://www.nba.com/game/was-vs-det-1520700026,summer,2008,26,WAS,DET
2007-07-11,1520700027,https://www.nba.com/game/phi-vs-phx-1520700027,summer,2008,27,PHI,PHX
2007-07-11,1520700029,https://www.nba.com/game/sea-vs-mil-1520700029,summer,2008,29,SEA,MIL
2007-07-11,1520700028,https://www.nba.com/game/bos-vs-chn-1520700028,summer,2008,28,BOS,CHN
2007-07-11,1520700030,https://www.nba.com/game/lal-vs-por-1520700030,summer,2008,30,LAL,POR
2007-07-12,1520700036,https://www.nba.com/game/lac-vs-min-1520700036,summer,2008,36,LAC,MIN
2007-07-12,1520700034,https://www.nba.com/game/nyk-vs-sac-1520700034,summer,2008,34,NYK,SAC
2007-07-12,1520700031,https://www.nba.com/game/den-vs-det-1520700031,summer,2008,31,DEN,DET
2007-07-12,1520700033,https://www.nba.com/game/mem-vs-cle-1520700033,summer,2008,33,MEM,CLE
2007-07-12,1520700032,https://www.nba.com/game/dal-vs-hou-1520700032,summer,2008,32,DAL,HOU
2007-07-12,1520700035,https://www.nba.com/game/nok-vs-mil-1520700035,summer,2008,35,NOK,MIL
2007-07-13,1610700001,https://www.nba.com/game/phi-vs-sas-1610700001,summer,2008,1,PHI,SAS
2007-07-13,1610700002,https://www.nba.com/game/atl-vs-uta-1610700002,summer,2008,2,ATL,UTA
2007-07-13,1520700042,https://www.nba.com/game/gsw-vs-sea-1520700042,summer,2008,42,GSW,SEA
2007-07-13,1520700038,https://www.nba.com/game/mem-vs-lac-1520700038,summer,2008,38,MEM,LAC
2007-07-13,1520700041,https://www.nba.com/game/den-vs-lal-1520700041,summer,2008,41,DEN,LAL
2007-07-13,1520700039,https://www.nba.com/game/bos-vs-mil-1520700039,summer,2008,39,BOS,MIL
2007-07-13,1520700037,https://www.nba.com/game/nok-vs-phx-1520700037,summer,2008,37,NOK,PHX
2007-07-13,1520700040,https://www.nba.com/game/hou-vs-was-1520700040,summer,2008,40,HOU,WAS
2007-07-14,1610700004,https://www.nba.com/game/phi-vs-uta-1610700004,summer,2008,4,PHI,UTA
2007-07-14,1520700043,https://www.nba.com/game/dal-vs-bos-1520700043,summer,2008,43,DAL,BOS
2007-07-14,1520700047,https://www.nba.com/game/det-vs-lal-1520700047,summer,2008,47,DET,LAL
2007-07-14,1520700045,https://www.nba.com/game/cle-vs-was-1520700045,summer,2008,45,CLE,WAS
2007-07-14,1520700048,https://www.nba.com/game/hou-vs-sac-1520700048,summer,2008,48,HOU,SAC
2007-07-14,1520700046,https://www.nba.com/game/nyk-vs-gsw-1520700046,summer,2008,46,NYK,GSW
2007-07-14,1520700049,https://www.nba.com/game/phx-vs-por-1520700049,summer,2008,49,PHX,POR
2007-07-14,1610700003,https://www.nba.com/game/atl-vs-sas-1610700003,summer,2008,3,ATL,SAS
2007-07-14,1520700044,https://www.nba.com/game/min-vs-mem-1520700044,summer,2008,44,MIN,MEM
2007-07-15,1520700051,https://www.nba.com/game/nyk-vs-den-1520700051,summer,2008,51,NYK,DEN
2007-07-15,1520700052,https://www.nba.com/game/min-vs-phx-1520700052,summer,2008,52,MIN,PHX
2007-07-15,1520700054,https://www.nba.com/game/hou-vs-nok-1520700054,summer,2008,54,HOU,NOK
2007-07-15,1520700053,https://www.nba.com/game/sea-vs-por-1520700053,summer,2008,53,SEA,POR
2007-07-15,1520700055,https://www.nba.com/game/sac-vs-lac-1520700055,summer,2008,55,SAC,LAC
2007-07-15,1610700005,https://www.nba.com/game/chi-vs-phi-1610700005,summer,2008,5,CHI,PHI
2007-07-15,1610700007,https://www.nba.com/game/sas-vs-uta-1610700007,summer,2008,7,SAS,UTA
2007-07-15,1610700006,https://www.nba.com/game/dal-vs-atl-1610700006,summer,2008,6,DAL,ATL
2007-07-15,1520700050,https://www.nba.com/game/mil-vs-was-1520700050,summer,2008,50,MIL,WAS
2007-07-17,1610700010,https://www.nba.com/game/sea-vs-uta-1610700010,summer,2008,10,SEA,UTA
2007-07-17,1610700009,https://www.nba.com/game/sas-vs-phi-1610700009,summer,2008,9,SAS,PHI
2007-07-17,1610700008,https://www.nba.com/game/atl-vs-chi-1610700008,summer,2008,8,ATL,CHI
2007-07-19,1610700011,https://www.nba.com/game/dal-vs-sas-1610700011,summer,2008,11,DAL,SAS
2007-07-19,1610700013,https://www.nba.com/game/atl-vs-uta-1610700013,summer,2008,13,ATL,UTA
2007-07-19,1610700012,https://www.nba.com/game/sea-vs-chi-1610700012,summer,2008,12,SEA,CHI
2007-07-20,1610700015,https://www.nba.com/game/dal-vs-sea-1610700015,summer,2008,15,DAL,SEA
2007-07-20,1610700014,https://www.nba.com/game/phi-vs-atl-1610700014,summer,2008,14,PHI,ATL
2007-07-20,1610700016,https://www.nba.com/game/chi-vs-uta-1610700016,summer,2008,16,CHI,UTA
2008-07-11,1520800004,https://www.nba.com/game/dal-vs-lac-1520800004,summer,2009,4,DAL,LAC
2008-07-11,1520800001,https://www.nba.com/game/phi-vs-gsw-1520800001,summer,2009,1,PHI,GSW
2008-07-11,1520800002,https://www.nba.com/game/noh-vs-mem-1520800002,summer,2009,2,NOH,MEM
2008-07-11,1520800003,https://www.nba.com/game/lal-vs-det-1520800003,summer,2009,3,LAL,DET
2008-07-12,1520800005,https://www.nba.com/game/tor-vs-sac-1520800005,summer,2009,5,TOR,SAC
2008-07-12,1520800006,https://www.nba.com/game/cha-vs-lac-1520800006,summer,2009,6,CHA,LAC
2008-07-12,1520800007,https://www.nba.com/game/phi-vs-den-1520800007,summer,2009,7,PHI,DEN
2008-07-12,1520800008,https://www.nba.com/game/mem-vs-mil-1520800008,summer,2009,8,MEM,MIL
2008-07-13,1520800010,https://www.nba.com/game/dal-vs-gsw-1520800010,summer,2009,10,DAL,GSW
2008-07-13,1520800011,https://www.nba.com/game/mem-vs-lal-1520800011,summer,2009,11,MEM,LAL
2008-07-13,1520800012,https://www.nba.com/game/det-vs-lac-1520800012,summer,2009,12,DET,LAC
2008-07-13,1520800009,https://www.nba.com/game/cha-vs-noh-1520800009,summer,2009,9,CHA,NOH
2008-07-14,1520800018,https://www.nba.com/game/sas-vs-mem-1520800018,summer,2009,18,SAS,MEM
2008-07-14,1520800013,https://www.nba.com/game/nyk-vs-cle-1520800013,summer,2009,13,NYK,CLE
2008-07-14,1520800014,https://www.nba.com/game/tor-vs-den-1520800014,summer,2009,14,TOR,DEN
2008-07-14,1520800015,https://www.nba.com/game/was-vs-por-1520800015,summer,2009,15,WAS,POR
2008-07-14,1520800017,https://www.nba.com/game/dal-vs-min-1520800017,summer,2009,17,DAL,MIN
2008-07-14,1520800016,https://www.nba.com/game/phx-vs-hou-1520800016,summer,2009,16,PHX,HOU
2008-07-15,1520800019,https://www.nba.com/game/det-vs-mil-1520800019,summer,2009,19,DET,MIL
2008-07-15,1520800020,https://www.nba.com/game/phi-vs-lal-1520800020,summer,2009,20,PHI,LAL
2008-07-15,1520800021,https://www.nba.com/game/sas-vs-noh-1520800021,summer,2009,21,SAS,NOH
2008-07-15,1520800022,https://www.nba.com/game/sac-vs-por-1520800022,summer,2009,22,SAC,POR
2008-07-15,1520800023,https://www.nba.com/game/cha-vs-gsw-1520800023,summer,2009,23,CHA,GSW
2008-07-16,1520800024,https://www.nba.com/game/sas-vs-nyk-1520800024,summer,2009,24,SAS,NYK
2008-07-16,1520800025,https://www.nba.com/game/sac-vs-dal-1520800025,summer,2009,25,SAC,DAL
2008-07-16,1520800026,https://www.nba.com/game/phi-vs-was-1520800026,summer,2009,26,PHI,WAS
2008-07-16,1520800027,https://www.nba.com/game/min-vs-lal-1520800027,summer,2009,27,MIN,LAL
2008-07-16,1520800028,https://www.nba.com/game/mem-vs-lac-1520800028,summer,2009,28,MEM,LAC
2008-07-16,1520800029,https://www.nba.com/game/cle-vs-hou-1520800029,summer,2009,29,CLE,HOU
2008-07-17,1520800032,https://www.nba.com/game/tor-vs-phi-1520800032,summer,2009,32,TOR,PHI
2008-07-17,1520800030,https://www.nba.com/game/dal-vs-det-1520800030,summer,2009,30,DAL,DET
2008-07-17,1520800031,https://www.nba.com/game/noh-vs-lac-1520800031,summer,2009,31,NOH,LAC
2008-07-17,1520800033,https://www.nba.com/game/sas-vs-phx-1520800033,summer,2009,33,SAS,PHX
2008-07-17,1520800034,https://www.nba.com/game/por-vs-min-1520800034,summer,2009,34,POR,MIN
2008-07-17,1520800035,https://www.nba.com/game/den-vs-mil-1520800035,summer,2009,35,DEN,MIL
2008-07-18,1620800001,https://www.nba.com/game/dal-vs-atl-1620800001,summer,2009,1,DAL,ATL
2008-07-18,1620800002,https://www.nba.com/game/sas-vs-uta-1620800002,summer,2009,2,SAS,UTA
2008-07-18,1520800036,https://www.nba.com/game/phx-vs-nyk-1520800036,summer,2009,36,PHX,NYK
2008-07-18,1520800037,https://www.nba.com/game/cha-vs-det-1520800037,summer,2009,37,CHA,DET
2008-07-18,1520800038,https://www.nba.com/game/cle-vs-was-1520800038,summer,2009,38,CLE,WAS
2008-07-18,1520800039,https://www.nba.com/game/lal-vs-tor-1520800039,summer,2009,39,LAL,TOR
2008-07-18,1520800040,https://www.nba.com/game/sac-vs-gsw-1520800040,summer,2009,40,SAC,GSW
2008-07-18,1520800041,https://www.nba.com/game/hou-vs-den-1520800041,summer,2009,41,HOU,DEN
2008-07-19,1620800004,https://www.nba.com/game/atl-vs-uta-1620800004,summer,2009,4,ATL,UTA
