date,game_id,game_url
1998-04-04,0029701072,https://www.nba.com/game/chh-vs-mia-0029701072
1998-04-04,0029701071,https://www.nba.com/game/nyk-vs-njn-0029701071
1998-04-04,0029701073,https://www.nba.com/game/gsw-vs-sas-0029701073
1998-04-04,0029701074,https://www.nba.com/game/por-vs-phx-0029701074
2007-11-17,0020700133,https://www.nba.com/game/uta-vs-ind-0020700133
2007-11-17,0020700132,https://www.nba.com/game/sea-vs-cha-0020700132
2007-11-17,0020700131,https://www.nba.com/game/por-vs-was-0020700131
2007-11-17,0020700134,https://www.nba.com/game/mia-vs-njn-0020700134
2007-11-17,0020700135,https://www.nba.com/game/noh-vs-min-0020700135
2007-11-17,0020700138,https://www.nba.com/game/mem-vs-dal-0020700138
2007-11-17,0020700137,https://www.nba.com/game/phx-vs-hou-0020700137
2007-11-17,0020700136,https://www.nba.com/game/atl-vs-mil-0020700136
2007-11-17,0020700139,https://www.nba.com/game/nyk-vs-den-0020700139
2007-11-17,0020700140,https://www.nba.com/game/chi-vs-lac-0020700140
