date,game_id,game_url,game_type,season,game_number,away_team,home_team
1997-04-24,49600001,https://www.nba.com/game/chh-vs-nyk-0049600001,playoffs,1997,1,CHH,NYK
1997-04-24,49600002,https://www.nba.com/game/orl-vs-mia-0049600002,playoffs,1997,2,ORL,MIA
1997-04-24,49600003,https://www.nba.com/game/min-vs-hou-0049600003,playoffs,1997,3,MIN,HOU
1997-04-24,49600004,https://www.nba.com/game/lac-vs-uta-0049600004,playoffs,1997,4,LAC,UTA
1997-04-25,49600005,https://www.nba.com/game/det-vs-atl-0049600005,playoffs,1997,5,DET,ATL
1997-04-25,49600006,https://www.nba.com/game/was-vs-chi-0049600006,playoffs,1997,6,WAS,CHI
1997-04-25,49600008,https://www.nba.com/game/por-vs-lal-0049600008,playoffs,1997,8,POR,LAL
1997-04-25,49600007,https://www.nba.com/game/phx-vs-sea-0049600007,playoffs,1997,7,PHX,SEA
1997-04-26,49600010,https://www.nba.com/game/chh-vs-nyk-0049600010,playoffs,1997,10,CHH,NYK
1997-04-26,49600011,https://www.nba.com/game/lac-vs-uta-0049600011,playoffs,1997,11,LAC,UTA
1997-04-26,49600009,https://www.nba.com/game/min-vs-hou-0049600009,playoffs,1997,9,MIN,HOU
1997-04-27,49600015,https://www.nba.com/game/det-vs-atl-0049600015,playoffs,1997,15,DET,ATL
1997-04-27,49600016,https://www.nba.com/game/phx-vs-sea-0049600016,playoffs,1997,16,PHX,SEA
1997-04-27,49600013,https://www.nba.com/game/por-vs-lal-0049600013,playoffs,1997,13,POR,LAL
1997-04-27,49600012,https://www.nba.com/game/orl-vs-mia-0049600012,playoffs,1997,12,ORL,MIA
1997-04-27,49600014,https://www.nba.com/game/was-vs-chi-0049600014,playoffs,1997,14,WAS,CHI
1997-04-28,49600017,https://www.nba.com/game/nyk-vs-chh-0049600017,playoffs,1997,17,NYK,CHH
1997-04-28,49600018,https://www.nba.com/game/uta-vs-lac-0049600018,playoffs,1997,18,UTA,LAC
1997-04-29,49600019,https://www.nba.com/game/mia-vs-orl-0049600019,playoffs,1997,19,MIA,ORL
1997-04-29,49600020,https://www.nba.com/game/atl-vs-det-0049600020,playoffs,1997,20,ATL,DET
1997-04-29,49600021,https://www.nba.com/game/hou-vs-min-0049600021,playoffs,1997,21,HOU,MIN
1997-04-29,49600022,https://www.nba.com/game/sea-vs-phx-0049600022,playoffs,1997,22,SEA,PHX
1997-04-30,49600023,https://www.nba.com/game/chi-vs-was-0049600023,playoffs,1997,23,CHI,WAS
1997-04-30,49600024,https://www.nba.com/game/lal-vs-por-0049600024,playoffs,1997,24,LAL,POR
1997-05-01,49600026,https://www.nba.com/game/mia-vs-orl-0049600026,playoffs,1997,26,MIA,ORL
1997-05-01,49600029,https://www.nba.com/game/sea-vs-phx-0049600029,playoffs,1997,29,SEA,PHX
1997-05-02,49600032,https://www.nba.com/game/lal-vs-por-0049600032,playoffs,1997,32,LAL,POR
1997-05-02,49600030,https://www.nba.com/game/atl-vs-det-0049600030,playoffs,1997,30,ATL,DET
1997-05-03,49600034,https://www.nba.com/game/phx-vs-sea-0049600034,playoffs,1997,34,PHX,SEA
1997-05-05,49600042,https://www.nba.com/game/sea-vs-hou-0049600042,playoffs,1997,42,SEA,HOU
1997-05-06,49600043,https://www.nba.com/game/atl-vs-chi-0049600043,playoffs,1997,43,ATL,CHI
1997-05-06,49600044,https://www.nba.com/game/lal-vs-uta-0049600044,playoffs,1997,44,LAL,UTA
1997-05-07,49600046,https://www.nba.com/game/sea-vs-hou-0049600046,playoffs,1997,46,SEA,HOU
