x,y,m
-29,19,1.0
-119,230,-1.0
-229,29,2.0
224,6,2.0
-18,247,-1.0
18,14,-1.0
-1,27,-1.0
137,215,2.0
-13,0,1.0
-6,8,1.0
42,120,1.0
-6,-1,-1.0
0,0,1.0
45,253,2.0
114,3,1.0
89,236,-1.0
-16,4,-1.0
0,0,1.0
65,192,-1.0
93,99,1.0
15,16,-1.0
-28,38,-1.0
-10,6,-1.0
12,20,-1.0
-232,36,2.0
-6,3,1.0
6,11,-1.0
40,105,1.0
-87,87,1.0
21,22,-1.0
-98,104,1.0
153,221,2.0
-230,20,-1.0
235,20,-1.0
-21,167,1.0
-9,-11,1.0
-165,193,-1.0
5,3,1.0
-205,167,-1.0
0,0,-1.0
-178,195,-1.0
-60,266,2.0
-118,222,2.0
13,-5,1.0
23,4,1.0
167,226,2.0
165,203,-1.0
229,16,2.0
-7,5,1.0
-237,29,2.0
47,269,-1.0
10,27,1.0
-12,14,1.0
-224,129,-1.0
207,147,-1.0
120,234,2.0
-38,62,-1.0
0,0,1.0
-1,-1,1.0
105,247,2.0
-216,136,-1.0
-4,103,-1.0
-60,247,-1.0
-115,-2,-1.0
-13,8,-1.0
216,127,-1.0
-170,219,2.0
103,35,1.0
-32,64,-1.0
234,63,2.0
-127,235,-1.0
17,282,2.0
140,221,2.0
-235,47,-1.0
-7,216,1.0
-94,253,2.0
1,205,-1.0
-16,22,1.0
38,210,-1.0
9,11,1.0
-229,52,2.0
-132,113,1.0
114,248,-1.0
-222,107,-1.0
161,223,-1.0
156,222,-1.0
-7,262,-1.0
-16,33,-1.0
151,238,-1.0
0,0,1.0
0,10,1.0
-237,104,-1.0
5,15,-1.0
0,36,1.0
21,273,2.0
10,13,1.0
-89,257,2.0
-124,153,-1.0
-102,183,1.0
233,53,-1.0
-1,4,1.0
123,252,-1.0
-232,68,2.0
238,36,2.0
-28,260,-1.0
-110,252,-1.0
-129,243,-1.0
1,31,-1.0
0,0,1.0
-27,22,-1.0
146,223,2.0
-1,288,2.0
-10,264,-1.0
0,0,1.0
-29,265,-1.0
1,58,1.0
2,15,1.0
-156,67,-1.0
-16,8,1.0
-7,265,-1.0
4,-1,1.0
6,33,-1.0
228,50,-1.0
9,34,1.0
112,263,-1.0
87,57,1.0
17,22,1.0
45,277,-1.0
157,232,-1.0
58,116,-1.0
192,180,2.0
67,190,-1.0
-15,35,-1.0
32,53,1.0
7,14,1.0
69,77,-1.0
26,248,-1.0
89,253,-1.0
17,34,1.0
-28,15,1.0
16,263,-1.0
-15,19,-1.0
-16,101,1.0
-51,75,1.0
-13,6,-1.0
0,0,-1.0
0,22,1.0
-36,176,-1.0
16,15,1.0
-6,8,1.0
-234,20,-1.0
-27,14,-1.0
108,113,1.0
-235,-10,-1.0
94,36,1.0
-234,16,2.0
1,34,-1.0
0,257,-1.0
181,171,-1.0
7,29,-1.0
17,36,-1.0
228,15,-1.0
140,227,-1.0
-15,22,-1.0
0,0,-1.0
0,0,-1.0
0,0,-1.0
0,0,1.0
-43,75,-1.0
17,17,-1.0
