x,y,m
55,25,1.0
125,24,-1.0
0,0,1.0
-167,184,-1.0
38,263,2.0
207,200,-1.0
-47,43,1.0
232,20,-1.0
0,0,1.0
168,36,-1.0
53,19,1.0
-223,-13,-1.0
25,92,-1.0
-6,264,2.0
45,27,-1.0
0,0,-1.0
-134,94,-1.0
-48,22,1.0
-126,88,1.0
-180,183,-1.0
164,15,1.0
-12,73,-1.0
23,68,1.0
108,253,2.0
25,62,-1.0
-4,25,1.0
199,194,2.0
23,47,-1.0
36,13,1.0
-48,243,2.0
-130,225,-1.0
-45,17,1.0
-136,231,2.0
176,193,-1.0
80,13,-1.0
230,108,-1.0
-119,237,2.0
-125,230,-1.0
-230,52,-1.0
190,198,2.0
225,124,-1.0
0,0,1.0
-114,254,-1.0
34,18,1.0
97,36,-1.0
0,0,-1.0
-190,233,2.0
25,12,1.0
-192,197,2.0
33,13,-1.0
-188,214,-1.0
-38,10,1.0
-136,243,-1.0
227,1,-1.0
-34,28,1.0
-37,15,1.0
31,28,-1.0
0,0,-1.0
15,12,1.0
28,15,-1.0
-48,17,-1.0
43,11,-1.0
17,59,-1.0
-212,8,1.0
-228,91,-1.0
-2,44,-1.0
-234,-9,-1.0
-181,243,-1.0
-192,21,-1.0
140,225,-1.0
-228,31,-1.0
0,83,1.0
-208,194,-1.0
40,179,1.0
-36,23,-1.0
-173,209,-1.0
-13,285,2.0
-153,15,1.0
38,110,-1.0
-2,74,-1.0
-17,299,-1.0
-34,26,-1.0
157,215,-1.0
-213,181,-1.0
25,27,-1.0
17,309,-1.0
-191,172,-1.0
-89,263,-1.0
-27,63,-1.0
-229,138,-1.0
130,233,-1.0
72,28,1.0
-45,94,-1.0
-105,44,-1.0
-143,118,-1.0
-229,1,-1.0
-157,252,-1.0
-61,105,-1.0
49,38,-1.0
-135,16,-1.0
28,38,-1.0
-232,22,-1.0
-6,10,1.0
70,246,2.0
-129,73,-1.0
-147,99,1.0
5,4,1.0
-153,6,-1.0
40,275,-1.0
0,-4,-1.0
-223,2,-1.0
-36,63,-1.0
-167,253,2.0
154,257,2.0
9,10,1.0
