x,y,m
0,4,1.0
4,32,-1.0
4,258,2.0
-26,275,-1.0
-137,231,2.0
-142,223,-1.0
5,12,1.0
125,216,-1.0
-125,233,2.0
105,230,-1.0
-48,36,1.0
94,242,-1.0
157,195,-1.0
104,232,-1.0
-6,91,1.0
-230,37,2.0
-47,16,-1.0
29,16,-1.0
-87,241,-1.0
-22,17,-1.0
-225,107,-1.0
-89,254,-1.0
-27,78,1.0
77,252,-1.0
10,17,-1.0
-100,237,2.0
6,15,1.0
-59,249,-1.0
-47,91,-1.0
89,15,-1.0
18,268,-1.0
-7,256,-1.0
26,122,1.0
23,17,-1.0
151,44,-1.0
0,10,1.0
103,239,-1.0
-227,5,-1.0
114,230,-1.0
235,36,-1.0
-58,314,2.0
-232,31,2.0
-5,12,1.0
-1,6,1.0
-227,70,-1.0
-61,293,-1.0
71,251,-1.0
56,109,-1.0
-89,229,-1.0
65,88,1.0
-27,10,1.0
4,69,-1.0
-223,-12,2.0
-26,31,1.0
44,37,-1.0
-129,216,-1.0
43,40,-1.0
114,229,-1.0
29,68,1.0
69,96,1.0
-232,46,-1.0
47,106,1.0
145,209,-1.0
-28,55,1.0
-31,29,-1.0
0,0,1.0
-21,17,1.0
6,6,-1.0
-11,10,1.0
-130,215,-1.0
-113,74,1.0
116,229,2.0
12,19,-1.0
0,0,1.0
61,69,-1.0
-89,230,-1.0
-16,15,-1.0
-26,17,-1.0
181,176,2.0
145,211,-1.0
234,-15,-1.0
13,9,1.0
-4,17,-1.0
-16,11,-1.0
-71,35,1.0
115,216,2.0
-223,34,2.0
-31,9,-1.0
-13,48,1.0
-126,248,-1.0
12,6,1.0
-228,-10,2.0
232,27,2.0
-225,-15,2.0
141,219,-1.0
1,8,-1.0
-222,59,-1.0
-18,5,-1.0
-9,6,-1.0
-93,150,-1.0
0,10,1.0
-223,-16,-1.0
225,72,-1.0
0,72,1.0
-10,5,1.0
-97,225,-1.0
-207,20,-1.0
-230,-1,-1.0
1,4,1.0
-7,-5,-1.0
0,0,-1.0
-126,219,-1.0
58,251,2.0
10,57,-1.0
0,14,1.0
