date,game_id,game_url,game_type,season,game_number,away_team,home_team
2007-10-30,20700001,https://www.nba.com/game/por-vs-sas-0020700001,regular,2008,1,POR,SAS
2007-10-30,20700002,https://www.nba.com/game/hou-vs-lal-0020700002,regular,2008,2,HOU,LAL
2007-10-30,20700003,https://www.nba.com/game/uta-vs-gsw-0020700003,regular,2008,3,UTA,GSW
2007-10-31,20700004,https://www.nba.com/game/phi-vs-tor-0020700004,regular,2008,4,PHI,TOR
2007-10-31,20700005,https://www.nba.com/game/mil-vs-orl-0020700005,regular,2008,5,MIL,ORL
2007-10-31,20700006,https://www.nba.com/game/was-vs-ind-0020700006,regular,2008,6,WAS,IND
2007-10-31,20700007,https://www.nba.com/game/chi-vs-njn-0020700007,regular,2008,7,CHI,NJN
2007-10-31,20700008,https://www.nba.com/game/dal-vs-cle-0020700008,regular,2008,8,DAL,CLE
2007-10-31,20700009,https://www.nba.com/game/sas-vs-mem-0020700009,regular,2008,9,SAS,MEM
2007-10-31,20700010,https://www.nba.com/game/sac-vs-noh-0020700010,regular,2008,10,SAC,NOH
2007-10-31,20700011,https://www.nba.com/game/sea-vs-den-0020700011,regular,2008,11,SEA,DEN
2007-11-01,20700012,https://www.nba.com/game/det-vs-mia-0020700012,regular,2008,12,DET,MIA
2007-11-01,20700013,https://www.nba.com/game/hou-vs-uta-0020700013,regular,2008,13,HOU,UTA
2007-11-01,20700014,https://www.nba.com/game/phx-vs-sea-0020700014,regular,2008,14,PHX,SEA
2007-11-02,20700015,https://www.nba.com/game/mil-vs-cha-0020700015,regular,2008,15,MIL,CHA
2007-11-02,20700016,https://www.nba.com/game/det-vs-orl-0020700016,regular,2008,16,DET,ORL
2007-11-02,20700017,https://www.nba.com/game/mia-vs-ind-0020700017,regular,2008,17,MIA,IND
2007-11-02,20700018,https://www.nba.com/game/tor-vs-njn-0020700018,regular,2008,18,TOR,NJN
2007-11-02,20700019,https://www.nba.com/game/dal-vs-atl-0020700019,regular,2008,19,DAL,ATL
2007-11-02,20700020,https://www.nba.com/game/nyk-vs-cle-0020700020,regular,2008,20,NYK,CLE
2007-11-02,20700021,https://www.nba.com/game/was-vs-bos-0020700021,regular,2008,21,WAS,BOS
2007-11-02,20700022,https://www.nba.com/game/por-vs-noh-0020700022,regular,2008,22,POR,NOH
2007-11-02,20700023,https://www.nba.com/game/den-vs-min-0020700023,regular,2008,23,DEN,MIN
2007-11-02,20700024,https://www.nba.com/game/phi-vs-chi-0020700024,regular,2008,24,PHI,CHI
2007-11-02,20700025,https://www.nba.com/game/sac-vs-sas-0020700025,regular,2008,25,SAC,SAS
2007-11-02,20700026,https://www.nba.com/game/lal-vs-phx-0020700026,regular,2008,26,LAL,PHX
2007-11-02,20700027,https://www.nba.com/game/gsw-vs-lac-0020700027,regular,2008,27,GSW,LAC
2007-11-03,20700028,https://www.nba.com/game/njn-vs-phi-0020700028,regular,2008,28,NJN,PHI
2007-11-03,20700029,https://www.nba.com/game/orl-vs-was-0020700029,regular,2008,29,ORL,WAS
2007-11-03,20700030,https://www.nba.com/game/ind-vs-mem-0020700030,regular,2008,30,IND,MEM
2007-11-03,20700031,https://www.nba.com/game/chi-vs-mil-0020700031,regular,2008,31,CHI,MIL
2007-11-03,20700032,https://www.nba.com/game/por-vs-hou-0020700032,regular,2008,32,POR,HOU
